episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,action_confidence,shield_overrode,shield_reason,obstacle_risk,hazard_risk,combined_risk,obstacle_clearance_cells,distance_to_goal,progress,perception_latency_ms,ppo_decision_latency_ms,shield_decision_latency_ms,total_inference_latency_ms,done,done_reason
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,1,3,3,3,3,0.9957491159439087,0,not_applied,0.0,0.0016738495323807001,0.0016738495323807001,14.3875732421875,55.44366510251645,1.4070165116911326,12.161624999862397,15.941709,0.0,28.103333999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,4,4,3,3,0.9953970313072205,0,not_applied,0.0,0.004851515870541334,0.004851515870541334,12.987579345703125,54.037024344425184,1.4066407580912639,12.161624999862397,0.59025,0.0,12.751874999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,3,5,5,3,3,0.9950188398361206,0,not_applied,0.0,0.012571582570672035,0.012571582570672035,11.58758544921875,52.630789467763066,1.4062348766621184,12.161624999862397,0.557208,0.0,12.718832999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,4,6,6,3,3,0.9946512579917908,0,not_applied,0.0,0.029124192893505096,0.029124192893505096,10.187591552734375,51.22499389946279,1.4057955683002774,12.161624999862397,0.544125,0.0,12.705749999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,5,7,7,3,3,0.9942823648452759,0,not_applied,0.0,0.06032111495733261,0.06032111495733261,8.78759765625,49.8196748283246,1.4053190711381873,12.161624999862397,0.504125,0.0,12.665749999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,6,8,8,3,3,0.993913471698761,0,not_applied,0.0,0.11169564723968506,0.11169564723968506,7.5906982421875,48.41487374764082,1.4048010806837823,12.161624999862397,0.508375,0.0,12.669999999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,7,9,9,3,3,0.9935331344604492,0,not_applied,0.0,0.18490755558013916,0.18490755558013916,6.393798828125,47.01063709417264,1.4042366534681818,12.161624999862397,0.486917,0.0,12.648541999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,8,10,10,3,3,0.9931390881538391,0,not_applied,0.0,0.2736682891845703,0.2736682891845703,5.1968994140625,45.60701700396552,1.40362009020712,12.161624999862397,0.485917,0.0,12.647541999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,9,11,11,3,3,0.9927355051040649,0,not_applied,0.0,0.36211442947387695,0.36211442947387695,4.0,44.204072210600685,1.4029447933648314,12.161624999862397,0.526958,0.0,12.688582999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,10,12,12,3,3,0.9923140406608582,0,not_applied,0.2405477911233902,0.42836958169937134,0.42836958169937134,3.1968994140625,42.80186911806539,1.402203092535295,12.161624999862397,0.493,0.0,12.654624999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,11,13,13,3,3,0.991894543170929,0,not_applied,0.11689814180135727,0.45304661989212036,0.45304661989212036,2.79998779296875,41.400483088968905,1.4013860290964857,12.161624999862397,0.493,0.0,12.654624999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,12,14,14,3,3,0.9914719462394714,0,not_applied,0.0,0.42836958169937134,0.42836958169937134,3.1968994140625,40.0,1.4004830889689046,12.161624999862397,0.478167,0.0,12.639791999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,13,15,15,3,3,0.9910323023796082,0,not_applied,0.0364583320915699,0.36211442947387695,0.36211442947387695,4.0,38.600518131237564,1.399481868762436,12.161624999862397,0.481834,0.0,12.643458999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,14,16,16,3,3,0.9905745387077332,0,not_applied,0.8070987462997437,0.2736682891845703,0.8070987462997437,5.1968994140625,37.20215047547655,1.3983676557610139,12.161624999862397,0.484459,0.0,12.646083999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,15,17,17,3,3,0.9900920987129211,0,not_applied,0.6795909404754639,0.18490755558013916,0.6795909404754639,6.393798828125,35.805027579936315,1.3971228955402353,12.161624999862397,0.49975,0.0,12.661374999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,16,18,18,3,3,0.9896145462989807,0,not_applied,0.4596836566925049,0.11169564723968506,0.4596836566925049,7.5906982421875,34.40930106817051,1.3957265117658082,12.161624999862397,0.4725,0.0,12.634124999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,17,19,19,3,3,0.9891272187232971,0,not_applied,0.014467592351138592,0.06032111495733261,0.06032111495733261,8.78759765625,33.015148038438355,1.394153029732152,12.161624999862397,0.484458,0.0,12.646082999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,18,20,20,3,3,0.9886198043823242,0,not_applied,0.2391975224018097,0.029124192893505096,0.2391975224018097,10.187591552734375,31.622776601683793,1.392371436754562,12.161624999862397,0.474333,0.0,12.635957999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,19,21,21,3,3,0.9880869388580322,0,not_applied,0.631172776222229,0.012571582570672035,0.631172776222229,11.58758544921875,30.23243291566195,1.3903436860218434,12.161624999862397,0.479708,0.0,12.641332999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,20,22,22,3,3,0.9875049591064453,0,not_applied,0.10821758955717087,0.004851515870541334,0.10821758955717087,11.9844970703125,28.844410203711913,1.3880227119500361,12.161624999862397,0.4715,0.0,12.633124999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,21,23,23,3,3,0.9868404865264893,0,not_applied,0.5385802388191223,0.004059298895299435,0.5385802388191223,11.58758544921875,27.459060435491963,1.3853497682199496,12.161624999862397,0.465292,0.0,12.626916999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,22,24,24,3,3,0.9861619472503662,0,not_applied,0.6749613285064697,0.010588866658508778,0.6749613285064697,11.393768310546875,26.076809620810597,1.3822508146813668,12.161624999862397,0.482791,0.0,12.644415999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,23,25,25,3,3,0.985450029373169,0,not_applied,0.5989583134651184,0.024675153195858,0.5989583134651184,11.199951171875,24.698178070456937,1.37863155035366,12.161624999862397,0.554375,0.0,12.715999999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,24,26,26,3,3,0.9847055077552795,0,not_applied,0.03221450373530388,0.051366761326789856,0.051366761326789856,11.393768310546875,23.323807579381203,1.3743704910757337,12.161624999862397,0.533,0.0,12.694624999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,25,27,27,3,3,0.9839268326759338,0,not_applied,0.025077160447835922,0.0955248773097992,0.0955248773097992,11.58758544921875,21.95449840010015,1.3693091792810534,12.161624999862397,0.5325,0.0,12.694124999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,26,28,28,3,3,0.9831227660179138,0,not_applied,0.10898919403553009,0.1586948037147522,0.1586948037147522,11.9844970703125,20.591260281974,1.363238118126148,12.161624999862397,0.538875,0.0,12.700499999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,27,29,29,3,3,0.9822805523872375,0,not_applied,0.0,0.2355162501335144,0.2355162501335144,11.1968994140625,19.235384061671343,1.3558762203026582,12.161624999862397,0.541625,0.0,12.703249999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,28,30,30,3,3,0.9813591837882996,0,not_applied,0.0868055522441864,0.312241792678833,0.312241792678833,10.393798828125,17.88854381999832,1.346840241673025,12.161624999862397,0.54125,0.0,12.702874999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,29,31,31,3,3,0.9804003238677979,0,not_applied,0.0,0.3698052763938904,0.3698052763938904,9.5906982421875,16.55294535724685,1.33559846275147,12.161624999862397,0.540834,0.0,12.702458999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,30,32,32,3,3,0.9793463945388794,0,not_applied,0.0,0.3912615180015564,0.3912615180015564,8.78759765625,15.231546211727817,1.321399145519031,12.161624999862397,0.536083,0.0,12.697707999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,31,33,33,3,3,0.9781650900840759,0,not_applied,0.0,0.3698052763938904,0.3698052763938904,7.990692138671875,13.92838827718412,1.303157934543698,12.161624999862397,0.528875,0.0,12.690499999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,32,34,34,3,3,0.9770370125770569,0,not_applied,0.1784336417913437,0.312241792678833,0.312241792678833,6.5906982421875,12.649110640673518,1.2792776365106011,12.161624999862397,0.52675,0.0,12.688374999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,33,35,35,3,3,0.9758751392364502,0,not_applied,0.47164350748062134,0.2355162501335144,0.47164350748062134,5.393798828125,11.40175425099138,1.247356389682139,12.161624999862397,0.526,0.0,12.687624999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,34,36,36,3,3,0.9746937155723572,0,not_applied,0.6990739703178406,0.1586948037147522,0.6990739703178406,4.1968994140625,10.198039027185569,1.2037152238058102,12.161624999862397,0.52675,0.0,12.688374999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,35,37,37,3,3,0.97344571352005,0,not_applied,0.5875771045684814,0.0955248773097992,0.5875771045684814,3.0,9.055385138137417,1.1426538890481517,12.161624999862397,0.523875,0.0,12.685499999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,36,38,38,3,3,0.972216784954071,0,not_applied,0.17650462687015533,0.051366761326789856,0.17650462687015533,2.1968994140625,8.0,1.0553851381374173,12.161624999862397,0.526084,0.0,12.687708999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,37,39,39,3,3,0.9709669947624207,0,not_applied,0.7378471493721008,0.024675153195858,0.7378471493721008,2.1968994140625,7.0710678118654755,0.9289321881345245,12.161624999862397,0.522791,0.0,12.684415999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,38,40,40,3,3,0.9697597622871399,0,not_applied,0.8294751644134521,0.010588866658508778,0.8294751644134521,3.0,6.324555320336759,0.7465124915287165,12.161624999862397,0.5235,0.0,12.685124999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,39,41,41,3,3,0.9687480330467224,0,not_applied,0.3742283284664154,0.004059298895299435,0.3742283284664154,4.0,5.830951894845301,0.4936034254914583,12.161624999862397,0.525042,0.0,12.686666999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,40,42,42,3,3,0.9678966999053955,0,not_applied,0.0,0.0013901591300964355,0.0013901591300964355,5.1968994140625,5.656854249492381,0.17409764535292016,12.161624999862397,0.540375,0.0,12.701999999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,41,43,43,3,3,0.967227578163147,0,not_applied,0.0,0.00042529471102170646,0.00042529471102170646,6.393798828125,5.830951894845301,-0.17409764535292016,12.161624999862397,0.533709,0.0,12.695333999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,42,44,44,3,3,0.966685950756073,0,not_applied,0.0,0.00011623244790825993,0.00011623244790825993,7.5906982421875,6.324555320336759,-0.4936034254914583,12.161624999862397,0.5305,0.0,12.692124999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,43,45,45,3,3,0.9662588238716125,0,not_applied,0.48032405972480774,2.837766987795476e-05,0.48032405972480774,8.78759765625,7.0710678118654755,-0.7465124915287165,12.161624999862397,0.536416,0.0,12.698040999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,44,46,46,3,3,0.966057300567627,0,not_applied,0.01774691417813301,6.189250143506797e-06,0.01774691417813301,10.187591552734375,8.0,-0.9289321881345245,12.161624999862397,0.536334,0.0,12.697958999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,45,47,47,3,3,0.9659799933433533,0,not_applied,0.10435956716537476,1.2058999345754273e-06,0.10435956716537476,11.58758544921875,9.055385138137417,-1.0553851381374173,12.161624999862397,0.547208,0.0,12.708832999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,46,48,48,3,3,0.9659227132797241,0,not_applied,0.9353779554367065,2.0989229199130932e-07,0.9353779554367065,12.987579345703125,10.198039027185569,-1.1426538890481517,12.161624999862397,0.546709,0.0,12.708333999862397,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,47,49,49,3,3,0.9659170508384705,0,not_applied,0.06925153732299805,3.2635753655085864e-08,0.06925153732299805,14.3875732421875,11.40175425099138,-1.2037152238058102,12.161624999862397,0.530375,0.0,12.691999999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,48,49,49,3,3,0.9660108089447021,0,not_applied,0.06925153732299805,3.2635753655085864e-08,0.06925153732299805,14.3875732421875,11.40175425099138,0.0,12.161624999862397,0.527375,0.0,12.688999999862396,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,49,49,49,3,3,0.9660108089447021,0,not_applied,0.06925153732299805,3.2635753655085864e-08,0.06925153732299805,14.3875732421875,11.40175425099138,0.0,12.161624999862397,0.530834,0.0,12.692458999862398,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,50,49,49,3,3,0.9660108089447021,0,not_applied,0.06925153732299805,3.2635753655085864e-08,0.06925153732299805,14.3875732421875,11.40175425099138,0.0,12.161624999862397,0.530083,0.0,12.691707999862397,0,
