controller,mode,runs,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_steps,avg_final_distance,avg_path_length,avg_path_efficiency,avg_progress_efficiency,avg_min_obstacle_distance_cells,avg_hazard_exposure_steps,avg_shield_interventions,avg_perception_latency_ms,avg_ppo_decision_latency_ms,avg_shield_decision_latency_ms,avg_total_inference_latency_ms
ppo_shield,mono,250,239,0.956,0,0.0,11,0.044,45.132,0.11875127756989477,61.25568131301719,0.7600523268124411,0.7678166659749596,1.336685791015625,0.004,19.768,39.3928915997094,0.6287842957044896,0.8191266079621924,40.84080250337608
ppo_shield,stereo,250,202,0.808,0,0.0,48,0.192,71.404,4.371565869422378,92.07973439350256,0.6408890941831855,0.6570764664470051,2.7979093017578127,0.012,48.976,10.806091399354045,0.6290054134072445,0.820090837773015,12.255187650534305
raw_ppo,mono,250,0,0.0,150,0.6,100,0.4,100.64,25.533137746250336,51.777962415411096,0.0,0.3991163921598385,0.57599853515625,0.42,0.0,39.3928915997094,0.5921255348297024,0.0,39.9850171345391
raw_ppo,stereo,250,0,0.0,150,0.6,100,0.4,82.72,22.98451337796395,30.461327522309595,0.0,0.6233780500509007,2.2713720703125,0.992,0.0,10.806091399354045,0.5963584582133333,0.0,11.40244985756738
