episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,progress_efficiency,min_obstacle_distance_cells,mean_obstacle_risk,max_obstacle_risk,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,shield_interventions,shield_intervention_rate,perception_latency_ms,avg_ppo_decision_latency_ms,p50_ppo_decision_latency_ms,p95_ppo_decision_latency_ms,avg_shield_decision_latency_ms,p50_shield_decision_latency_ms,p95_shield_decision_latency_ms,avg_total_inference_latency_ms,elapsed_ms,selected_visual
14,1,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,12,47,1,0.21547067165374756,0.0,0,0,max_steps,200,55.32590180780449,39.56008088970496,48.041648597857254,0.0,0.0,1.399993896484375,0.001071993391312177,0.21547067165374756,0.02870109280797817,0.8500000238418579,3,0,0.0,6.563708000612678,0.5865675300000001,0.5615625,0.7161083499999998,0.0,0.0,0.0,7.150275530612678,132.2150829983002,
15,1,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,12,47,1,0.49035486578941345,0.0,0,1,collision_risk,1,1.4142135623730951,39.56008088970496,38.897300677553446,0.0,0.46865638244859653,0.0,0.7451774328947067,1.0,7.72082457842771e-05,0.00012024024908896536,0,0,0.0,8.926332999180886,0.63075,0.63075,0.63075,0.0,0.0,0.0,9.557082999180887,0.7043329969746992,
16,1,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,12,47,1,0.21547067165374756,0.0,0,0,max_steps,200,55.32590180780449,39.56008088970496,48.041648597857254,0.0,0.0,1.399993896484375,0.001071993391312177,0.21547067165374756,0.0668181220215842,0.6211084127426147,0,0,0.0,6.788624999899184,0.6158452400000001,0.5944585,0.7543246999999997,0.0,0.0,0.0,7.404470239899185,138.5379160019511,
17,1,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,4,45,35,0.0,0.0,0,0,max_steps,200,65.63961030678922,53.009433122794285,14.560219778561036,0.0,0.585762364592472,7.796875,0.03463968581784127,0.6469906568527222,0.04101123294772392,0.7565454244613647,2,0,0.0,13.21158299833769,0.596368755,0.5793545,0.7352101,0.0,0.0,0.0,13.80795175333769,134.44404099936946,
18,1,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,4,45,35,0.0,0.036651235073804855,0,1,collision_risk,37,52.32590180780449,53.009433122794285,8.48528137423857,0.0,0.8509008007562876,0.0,0.04598155617713928,0.9999998807907104,0.07698685495945468,0.774375855922699,1,0,0.0,169.17329100033385,0.5749266486486487,0.557625,0.6943161999999996,0.0,0.0,0.0,169.7482176489825,23.954749998665648,
19,1,raw_ppo,stress_density,Stress Density,stereo,0040,2,4,29,7,0.0,0.0,0,1,collision_risk,6,8.485281374238571,27.16615541441225,21.213203435596427,0.0,0.7015621187164239,0.0,0.14285714285714285,1.0,5.126597562577559e-08,2.901076641137479e-07,0,0,0.0,9.763624999322928,0.6156318333333334,0.6097915,0.6698022499999999,0.0,0.0,0.0,10.379256832656262,4.143916998145869,
20,1,raw_ppo,stress_density,Stress Density,mono,0040,2,4,29,7,0.0,0.07040894776582718,0,1,collision_risk,28,39.59797974644666,27.16615541441225,25.019992006393608,0.0,0.05419881069087186,0.0,0.06663073959021733,0.9999998807907104,0.059081926293675494,0.423845499753952,0,0,0.0,6.436416999349603,0.58835575,0.568917,0.6835521999999999,0.0,0.0,0.0,7.024772749349603,18.517041000450263,
21,2,raw_ppo,baseline_open,Baseline Open,stereo,0020,4,2,36,46,0.0,0.0,0,0,max_steps,200,65.63961030678922,54.405882034941776,13.341664064126334,0.0,0.6256011846945425,3.596893310546875,0.11044890247980382,0.7482637763023376,0.20942589975732254,0.8231301307678223,4,0,0.0,12.161624999862397,0.6815320850000001,0.603146,0.9901378499999984,0.0,0.0,0.0,12.843157084862398,152.17287499763188,
22,2,raw_ppo,baseline_open,Baseline Open,mono,0020,4,2,36,46,0.0,0.0,0,1,collision_risk,36,50.9116882454314,54.405882034941776,8.94427190999916,0.0,0.8929503556390541,0.0,0.03072864542136321,1.0,0.1340527773283674,0.723880410194397,2,0,0.0,8.002416998351691,1.1663982500000003,0.8803749999999999,2.706271,0.0,0.0,0.0,9.168815248351692,47.13870900013717,
23,2,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.487907090469287,0.0,0.728549325466156,1.0,0.37608550786972045,0.547802746295929,0,0,0.0,9.967291000066325,0.7899165,0.7669165,1.04592495,0.0,0.0,0.0,10.757207500066325,3.5137919985572807,
24,2,raw_ppo,dense_corridor,Dense Corridor,mono,0050,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,2.79998779296875,0.0,0.0,0.030989560050701002,0.7228204607963562,2,0,0.0,6.563708000612678,0.642543745,0.5813125,0.9300850999999996,0.0,0.0,0.0,7.206251745612678,145.59612499942887,
25,2,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.487907090469287,0.0,0.728549325466156,1.0,0.10998538304120302,0.2779422998428345,0,0,0.0,8.926332999180886,0.5876145,0.588167,0.60307685,0.0,0.0,0.0,9.513947499180887,2.622416999656707,
26,2,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,2.79998779296875,0.0,0.0,0.0180543266581105,0.3245525062084198,0,0,0.0,6.788624999899184,0.55062813,0.5430835,0.6214348,0.0,0.0,0.0,7.339253129899184,123.19104099879041,
27,2,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,4,2,44,37,0.0,0.0,0,0,max_steps,200,65.63961030678922,53.150729063673246,13.0,0.0,0.6116844520559316,10.59686279296875,0.03952267789861085,0.7974535822868347,0.03791999276899473,0.7126767039299011,1,0,0.0,13.21158299833769,0.543332065,0.532896,0.6315249999999999,0.0,0.0,0.0,13.75491506333769,121.46025000038208,
28,2,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,4,2,44,37,0.0,0.0,0,1,collision_risk,38,53.740115370177584,53.150729063673246,3.605551275463989,0.0,0.9219402944509446,0.0,0.030710864525574904,0.9999999403953552,0.00014224787757930485,0.0006679484504275024,0,0,0.0,169.17329100033385,0.5359945789473685,0.5249165,0.6177251,0.0,0.0,0.0,169.70928557928121,22.763042001315625,
29,2,raw_ppo,stress_density,Stress Density,stereo,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,24.041630560342615,15.033296378372908,0.0,0.7962317734081685,0.0,0.1111111044883728,0.9999999403953552,0.1505839766210152,0.4797230362892151,0,0,0.0,9.763624999322928,0.573062625,0.5415205000000001,0.67881065,0.0,0.0,0.0,10.336687624322929,5.164750000403728,
30,2,raw_ppo,stress_density,Stress Density,mono,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,26,36.76955262170048,24.041630560342615,19.235384061671343,0.0,0.13071267274094447,0.0,0.04768232504526774,1.0,0.06672919393251407,0.580642580986023,0,0,0.0,6.436416999349603,0.5175063461538462,0.5110835,0.54391675,0.0,0.0,0.0,6.9539233455034495,15.058625001984183,
31,3,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,1,38,46,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.62811813689564,11.40175425099138,0.0,0.6851594569178541,2.79998779296875,0.1144134562522803,0.9193671345710754,0.07056410474481468,0.7896930575370789,3,0,0.0,12.161624999862397,0.517011045,0.5108539999999999,0.5477875,0.0,0.0,0.0,12.678636044862397,115.25329200230772,
32,3,raw_ppo,baseline_open,Baseline Open,mono,0020,2,1,38,46,0.0,0.1527777761220932,0,1,collision_risk,38,53.740115370177584,57.62811813689564,7.280109889280518,0.0,0.9368794223980235,0.0,0.045974791049957275,0.9999998807907104,0.07222068081852664,0.4383018910884857,0,0,0.0,8.002416998351691,0.516561394736842,0.5130625,0.5374374000000001,0.0,0.0,0.0,8.518978393088533,21.89429200006998,
33,3,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.6118994217819894,0.0,0.25,1.0,0.24829076044261456,0.44091132283210754,0,0,0.0,9.967291000066325,0.5251246666666667,0.522541,0.5365666,0.0,0.0,0.0,10.492415666732992,1.7652919996180572,
34,3,raw_ppo,dense_corridor,Dense Corridor,mono,0050,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.0,1.0,0.0013771802928317246,0.27681323885917664,0.00870038099443654,0.28662776947021484,0,0,0.0,6.563708000612678,0.512748105,0.5102085000000001,0.5326868499999999,0.0,0.0,0.0,7.076456105612678,114.16216700308723,
35,3,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.6118994217819894,0.0,0.25,1.0,0.026439428329467773,0.032531704753637314,0,0,0.0,8.926332999180886,0.5262363333333333,0.519208,0.5434711,0.0,0.0,0.0,9.45256933251422,1.7691659995762166,
36,3,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.0,1.0,0.0013771802928317246,0.27681323885917664,0.028861422800192087,0.6499999761581421,0,0,0.0,6.788624999899184,0.5109141300000001,0.5081875,0.52854165,0.0,0.0,0.0,7.299539129899184,113.8017499979469,
37,3,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,1,45,38,0.0,0.3078703284263611,0,0,max_steps,200,67.46803743153542,56.72741841473134,11.704699910719626,0.0,0.6673192257844974,9.799957275390625,0.03884992200825641,0.6153548359870911,0.03337827953941557,0.7641890645027161,4,0,0.0,13.21158299833769,0.512736265,0.5099374999999999,0.53146635,0.0,0.0,0.0,13.72431926333769,114.11983300058637,
38,3,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,1,45,38,0.0,0.15740740299224854,0,1,collision_risk,39,55.154328932550676,56.72741841473134,4.47213595499958,0.0,0.9474375533357641,0.0,0.02567515280097723,0.9999999403953552,0.039418483058634025,0.18360227346420288,0,0,0.0,169.17329100033385,0.5162757435897436,0.511042,0.5360999999999999,0.0,0.0,0.0,169.6895667439236,22.44033299939474,
39,3,raw_ppo,stress_density,Stress Density,stereo,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,10,14.142135623730955,28.160255680657446,17.11724276862369,0.0,0.780858931482967,0.0,0.17324282906272195,0.9972992539405823,0.0005817695046293733,0.0039823297411203384,0,0,0.0,9.763624999322928,0.5179625,0.5134585,0.5433019,0.0,0.0,0.0,10.281587499322928,5.786292000266258,
40,3,raw_ppo,stress_density,Stress Density,mono,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,28.160255680657446,20.024984394500787,0.0,0.20544662475834213,0.0,0.049382711278981174,0.9999998807907104,0.050539319930215966,0.3310939073562622,0,0,0.0,6.436416999349603,0.5169552857142857,0.5137704999999999,0.5334625000000001,0.0,0.0,0.0,6.953372285063889,16.128999999637017,
41,4,raw_ppo,baseline_open,Baseline Open,stereo,0020,1,2,39,45,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.38466694161429,10.770329614269007,0.0,0.6909099345693602,1.399993896484375,0.10003799617068092,0.8724921345710754,0.06571648937663811,0.3117079734802246,0,0,0.0,12.161624999862397,0.51218956,0.5081455,0.52826665,0.0,0.0,0.0,12.673814559862397,113.92920800062711,
42,4,raw_ppo,baseline_open,Baseline Open,mono,0020,1,2,39,45,0.0,0.4484953284263611,0,1,collision_risk,38,53.740115370177584,57.38466694161429,5.0,0.0,0.974777716437217,0.0,0.03343621278420473,1.0,0.09455417833740855,0.4610689580440521,0,0,0.0,8.002416998351691,0.5164693684210527,0.511896,0.53629645,0.0,0.0,0.0,8.518886366772744,21.860332999494858,
43,4,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.5327206083326623,0.0,0.6939621418714523,0.9999998807907104,0.00010402971497569524,0.0002836952335201204,0,0,0.0,9.967291000066325,0.5445833333333333,0.532166,0.5749169000000001,0.0,0.0,0.0,10.511874333399659,1.8277499984833412,
