controller,mode,perturbation_type,severity,severity_value,runs,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_steps,avg_final_distance,avg_path_length,avg_path_efficiency,avg_progress_efficiency,avg_min_obstacle_distance_cells,avg_hazard_exposure_steps,avg_shield_interventions,avg_total_inference_latency_ms,avg_perturbation_latency_ms
ppo_shield,mono,depth_noise,extreme,0.22,250,227,0.908,0,0.0,23,0.092,53.876,0.21732471977659393,71.13953642906138,0.7097747452717909,0.726765658644613,1.3462860107421875,0.004,27.212,40.848188271304956,0.059021292
ppo_shield,mono,depth_noise,high,0.14,250,236,0.944,0,0.0,14,0.056,47.468,0.11671046952813205,63.439405409933954,0.7431121485533111,0.75415863209439,1.3422735595703126,0.004,21.692,40.892154246676164,0.061510328
ppo_shield,mono,depth_noise,low,0.04,250,238,0.952,0,0.0,12,0.048,45.832,0.14610282327016574,62.01071911843293,0.7542926697707467,0.7630325317468118,1.34948583984375,0.004,20.356,40.8796252861216,0.060225832
ppo_shield,mono,depth_noise,medium,0.08,250,236,0.944,0,0.0,14,0.056,47.22,0.13881440685683782,63.383592134710845,0.7447066719926799,0.7555739661197813,1.3438857421875,0.004,21.54,40.81556879034903,0.055413364
ppo_shield,mono,image_blur,extreme,13.0,250,182,0.728,12,0.048,56,0.224,74.36,0.7975719277769071,99.12583307836958,0.5331207199696326,0.6133303396237507,1.402260986328125,0.004,40.356,40.82075670495246,0.05594550799999999
ppo_shield,mono,image_blur,high,9.0,250,182,0.728,1,0.004,67,0.268,80.944,0.7494483344818369,107.41804980959625,0.5324608311006016,0.5886102584142903,1.4966478271484376,0.004,43.88,40.85982447465867,0.058016328
ppo_shield,mono,image_blur,low,3.0,250,230,0.92,0,0.0,20,0.08,51.74,0.19812362562510466,69.18088044136366,0.7055039445715704,0.7214688610315311,1.4318612060546876,0.004,24.112,40.85936430417385,0.056113168000000005
ppo_shield,mono,image_blur,medium,5.0,250,212,0.848,0,0.0,38,0.152,63.148,0.41333419341267325,84.46923309367486,0.6357131759281619,0.6659581099334039,1.4582608642578125,0.004,32.512,40.86404409212488,0.057386504000000005
ppo_shield,mono,partial_occlusion,extreme,0.35,250,208,0.832,32,0.128,10,0.04,43.868,0.7623944468434566,59.82765274231745,0.6439707535680227,0.7692595040014477,1.1990859375,0.004,18.548,40.943337057598676,0.098228992
ppo_shield,mono,partial_occlusion,high,0.25,250,211,0.844,30,0.12,9,0.036,43.176,0.792049911372699,59.02795721610044,0.6561915563133381,0.7727553533231567,1.21348583984375,0.004,17.96,40.88920529162279,0.082814988
ppo_shield,mono,partial_occlusion,low,0.08,250,230,0.92,10,0.04,10,0.04,44.376,0.30394460574795873,60.36547611880831,0.7255790036151013,0.7695902879255375,1.28948583984375,0.004,19.124,40.86973197339563,0.06290553600000001
ppo_shield,mono,partial_occlusion,medium,0.16,250,217,0.868,23,0.092,10,0.04,43.96,0.673776333247604,59.899770491323544,0.6784183360101579,0.7695846014985869,1.2398858642578126,0.004,18.692,40.883790021822826,0.07260649599999999
ppo_shield,mono,reduced_resolution,extreme,0.25,250,181,0.724,3,0.012,66,0.264,80.788,0.864927194161661,107.79887058643179,0.5241438976049679,0.584417931323921,1.4613616943359375,0.004,43.54,40.861297366550815,0.056170168000000006
ppo_shield,mono,reduced_resolution,high,0.33,250,182,0.728,13,0.052,55,0.22,73.54,0.7116908748980163,97.99268762521552,0.5399988665328478,0.6213580009280223,1.4366356201171875,0.004,39.352,40.86423282975634,0.0581653
ppo_shield,mono,reduced_resolution,low,0.75,250,230,0.92,0,0.0,20,0.08,50.916,0.22371680477744046,68.61203599578548,0.7201830571000964,0.7356706658856051,1.4286612548828126,0.004,23.908,40.88408110656294,0.061560216
ppo_shield,mono,reduced_resolution,medium,0.5,250,192,0.768,0,0.0,58,0.232,74.884,0.6432418891767703,99.20413928525612,0.5751570187015879,0.6221910532676797,1.4574609375,0.004,42.252,40.874246423708996,0.07567866399999999
ppo_shield,stereo,depth_noise,extreme,0.22,250,191,0.764,2,0.008,57,0.228,77.28,4.362076346545262,96.28411824167767,0.5948735097957492,0.6180969268320818,2.8320125732421877,0.024,52.088,12.26934196037756,0.058960828
ppo_shield,stereo,depth_noise,high,0.14,250,207,0.828,1,0.004,42,0.168,67.68,3.4505027795584993,83.59768794807789,0.6433071452571257,0.6646870696168684,2.764197998046875,0.012,43.324,12.294173352057532,0.060580935999999995
ppo_shield,stereo,depth_noise,low,0.04,250,212,0.848,0,0.0,38,0.152,65.02,2.861306714263334,83.51612660984188,0.6613043019482759,0.6780482336144823,2.8010721435546877,0.012,41.208,12.305745063059462,0.060261976
ppo_shield,stereo,depth_noise,medium,0.08,250,212,0.848,3,0.012,35,0.14,62.724,3.114584020299256,80.6723941447609,0.6638014395879448,0.688749372049369,2.798499267578125,0.012,39.092,12.23050764784991,0.055472511999999995
ppo_shield,stereo,image_blur,extreme,13.0,250,206,0.824,26,0.104,18,0.072,47.004,3.50576460510046,62.372111903970506,0.6527637356669218,0.7556400960407019,3.01429931640625,0.012,21.388,12.240615777534448,0.057182795999999994
ppo_shield,stereo,image_blur,high,9.0,250,189,0.756,40,0.16,21,0.084,48.756,3.9044371464845726,64.16884696870682,0.5926440267671049,0.749718741948841,2.8807864990234373,0.012,23.072,12.280460225132417,0.060964672
ppo_shield,stereo,image_blur,low,3.0,250,208,0.832,20,0.08,22,0.088,50.84,3.6216202239651274,67.32183426778371,0.6425490821119323,0.7246978455027633,2.851459228515625,0.012,24.868,12.282931227810447,0.057172864000000004
