perturbation_type,severity,severity_value,perturbation_seed,perturbation_latency_ms,base_perception_latency_ms,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,start_perceived_obstacle_risk,goal_perceived_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,progress_efficiency,min_obstacle_distance_cells,mean_obstacle_risk,max_obstacle_risk,mean_perceived_obstacle_risk,max_perceived_obstacle_risk,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,shield_interventions,shield_intervention_rate,perception_latency_ms,avg_ppo_decision_latency_ms,p50_ppo_decision_latency_ms,p95_ppo_decision_latency_ms,avg_shield_decision_latency_ms,p50_shield_decision_latency_ms,p95_shield_decision_latency_ms,avg_total_inference_latency_ms,elapsed_ms,selected_visual
depth_noise,low,0.04,91452,0.113875,12.161624999862397,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,0.009821915067732334,0.007171297911554575,1,0,goal_reached,53,72.46803743153541,56.85068161420758,0.0,0.7844931866399388,0.7844931866399388,2.0,0.08782721437617308,0.506751537322998,0.09575896447145,0.47569289803504944,0.1755658937421416,0.46591320633888245,0,14,0.2641509433962264,12.275499999862397,0.8429190566037735,0.67625,1.3016497999999999,1.007746075471698,0.914625,1.6598751999999999,14.126165131937869,102.81816600036109,
depth_noise,low,0.04,82852,0.068375,8.002416998351691,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,0.03451908007264137,0.13939742743968964,1,0,goal_reached,44,59.740115370177584,56.85068161420758,0.0,0.9516332745916922,0.9516332745916922,1.0,0.0074545604901181325,0.16512343287467957,0.017473176663689728,0.13939742743968964,0.02352561441247316,0.10395790636539459,0,7,0.1590909090909091,8.070791998351691,0.650001,0.6379795,0.9222599000000001,0.9100624090909091,0.8870830000000001,1.1490499500000004,9.6308554074426,71.65362500018091,
depth_noise,low,0.04,96643,0.072958,9.967291000066325,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,0.0,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.0,0.0,0.013608982594450935,0.056137681007385254,0.09216927434506487,0.4699438810348511,0,23,0.5897435897435898,10.040249000066325,0.7076197179487179,0.657917,1.0301411,0.9147916410256408,0.888667,1.0795214,11.662660359040684,66.2965420015098,
depth_noise,low,0.04,87785,0.067208,6.563708000612678,4,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,0.10353433340787888,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.004166665673255921,0.16666662693023682,0.013760725993779487,0.10353433340787888,4.989644612986332e-06,7.383842603303492e-05,0,23,0.5897435897435898,6.630916000612678,0.6413994871794872,0.606417,0.8104955000000003,0.8449913589743591,0.836875,0.9460291,8.117306846766525,60.55495900000096,
depth_noise,low,0.04,106078,0.059417,8.926332999180886,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0.06958474963903427,0.01315031573176384,0,0,max_steps,200,211.86500705120568,38.63935817272331,6.082762530298219,0.0,0.15366669605121003,1.0,0.0,0.0,0.017550822503781364,0.10521990060806274,0.3752739096746145,0.4897933602333069,0,169,0.845,8.985749999180886,0.5952612599999999,0.565979,0.7372752999999997,0.7988779049999999,0.7878959999999999,0.8613816,10.379889164180884,290.69637499924283,
depth_noise,low,0.04,96778,0.061,6.788624999899184,6,0,ppo_shield,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,0.13065293431282043,0.03002825565636158,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.004166665673255921,0.16666662693023682,0.011314416062668897,0.13065293431282043,0.06463275249261642,0.2766709625720978,0,23,0.5897435897435898,6.849624999899184,0.578003282051282,0.560333,0.7061672999999999,0.7826859487179486,0.777708,0.8088125,8.210314230668414,55.31541600066703,
depth_noise,low,0.04,105655,0.058667,13.21158299833769,7,0,ppo_shield,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,0.035970985889434814,0.0,1,0,goal_reached,44,60.982756057296854,56.22277118748239,0.0,0.9219453960830799,0.9219453960830799,9.799957275390625,0.07030177651387122,0.43711408972740173,0.07319274696314501,0.461839497089386,0.07381493891865486,0.3294309377670288,0,6,0.13636363636363635,13.27024999833769,0.6389677499999998,0.5777295,0.92395795,0.7981741363636363,0.787854,0.84860625,14.707391884701325,66.02941700111842,
depth_noise,low,0.04,96379,0.0605,169.17329100033385,8,0,ppo_shield,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,0.022069254890084267,0.14497880637645721,1,0,goal_reached,44,61.811183182043045,56.22277118748239,0.0,0.9095889820115244,0.9095889820115244,1.0,0.0026277432839075725,0.11824844777584076,0.014423922138909499,0.14497880637645721,0.07070824099019767,0.47416627407073975,0,5,0.11363636363636363,169.23379100033384,0.5734148181818182,0.5566665,0.6714856,0.7902575909090909,0.781,0.8431938,170.59746340942473,62.48533300095005,
depth_noise,low,0.04,97980,0.056708,9.763624999322928,9,0,ppo_shield,stress_density,Stress Density,stereo,0040,2,2,29,9,0.0,0.0,0.0,0.02017190307378769,1,0,goal_reached,27,34.87005768508882,27.892651361962706,0.0,0.7999026446661199,0.7999026446661199,1.0,0.0,0.0,0.010307711856772326,0.08875616639852524,0.1107461796427012,0.3891279995441437,0,14,0.5185185185185185,9.820332999322929,0.5915369999999999,0.567834,0.7023454,0.7924382592592593,0.783792,0.8444787,11.20430825858219,38.949041001615115,
depth_noise,low,0.04,89026,0.056458,6.436416999349603,10,0,ppo_shield,stress_density,Stress Density,mono,0040,2,2,29,9,0.0,0.0,0.050247374922037125,0.0,1,0,goal_reached,27,38.18376618407357,27.892651361962706,0.0,0.7304845527154081,0.7304845527154081,1.399993896484375,0.0,0.0,0.01660175001182194,0.09776783734560013,1.0480437435151913e-05,6.46051048533991e-05,0,10,0.37037037037037035,6.4928749993496035,0.5729167407407407,0.561041,0.6291002,0.7841713703703704,0.777542,0.8443963,7.849963110460715,38.16979199837078,
depth_noise,low,0.04,91495,0.053292,12.161624999862397,11,1,ppo_shield,baseline_open,Baseline Open,stereo,0020,2,4,37,44,0.0,0.11516202986240387,0.024343052878975868,0.16766466200351715,1,0,goal_reached,54,71.81118318204304,53.150729063673246,0.0,0.740145569373713,0.740145569373713,1.399993896484375,0.08872053571130065,0.43769291043281555,0.09365235538306561,0.46074098348617554,0.0840030718600817,0.47520506381988525,0,20,0.37037037037037035,12.214916999862398,0.574183648148148,0.5574375,0.6492271999999999,0.7896258518518517,0.779604,0.8605476999999998,13.578726499862398,76.75304099757341,
depth_noise,low,0.04,82893,0.052917,8.002416998351691,12,1,ppo_shield,baseline_open,Baseline Open,mono,0020,2,4,37,44,0.0,0.0,0.03657352924346924,0.0,1,0,goal_reached,41,57.56854249492377,53.150729063673246,0.0,0.9232599395470178,0.9232599395470178,1.0,0.00393151030653999,0.16512343287467957,0.014570370715643679,0.13481467962265015,0.032675756962052944,0.3608032464981079,0,3,0.07317073170731707,8.055333998351692,0.5780599268292683,0.560208,0.726833,0.7916708536585365,0.7835,0.870458,9.425064778839497,58.51012499988428,
depth_noise,low,0.04,96687,0.053792,9.967291000066325,13,1,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,12,47,1,0.49035486578941345,0.0,0.45593613386154175,0.05733899399638176,0,0,max_steps,200,282.8427124746201,39.56008088970496,39.56008088970496,0.0,0.0,1.0,0.5204897138906356,0.5509259104728699,0.51076514181213,0.5661424398422241,0.01685389031225176,0.019639182835817337,0,200,1.0,10.021083000066325,0.581015665,0.558979,0.74828335,0.7915961200000001,0.7823335,0.8500454999999999,11.393694785066325,286.4554580010008,
depth_noise,low,0.04,87827,0.073625,6.563708000612678,14,1,ppo_shield,dense_corridor,Dense Corridor,mono,0050,9,12,47,1,0.21547067165374756,0.0,0.23207972943782806,0.001745623187161982,1,0,goal_reached,39,54.740115370177584,39.56008088970496,0.0,0.7226890301962589,0.7226890301962589,1.399993896484375,0.005386766791343689,0.21547067165374756,0.012825485490611754,0.23207972943782806,0.0002611833864162231,0.002580658532679081,0,25,0.6410256410256411,6.637333000612678,0.5700897948717949,0.555292,0.6676329999999999,0.7871976153846152,0.78,0.855634,7.9946204108690875,55.14875000153552,
depth_noise,low,0.04,106124,0.05425,8.926332999180886,15,1,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,12,47,1,0.49035486578941345,0.0,0.5730875730514526,0.0,1,0,goal_reached,41,56.74011537017758,39.56008088970496,0.0,0.697215376310243,0.697215376310243,1.0,0.046879591686385017,0.9276620745658875,0.05741067387584951,0.898808479309082,0.10019021401339637,0.49059373140335083,0,26,0.6341463414634146,8.980582999180886,0.7431696341463415,0.571709,1.751416,0.9650316097560976,0.785917,1.806833,10.688784243083324,73.04874999681488,
depth_noise,low,0.04,96822,0.056,6.788624999899184,16,1,ppo_shield,obstacle_cluster,Obstacle Cluster,mono,0060,9,12,47,1,0.21547067165374756,0.0,0.21719565987586975,0.0,1,0,goal_reached,39,54.740115370177584,39.56008088970496,0.0,0.7226890301962589,0.7226890301962589,1.399993896484375,0.005386766791343689,0.21547067165374756,0.012362841723370366,0.21719565987586975,0.0015378050041767732,0.005601366050541401,0,25,0.6410256410256411,6.844624999899184,0.6405769487179487,0.587667,0.8019831000000001,0.8053866923076922,0.789208,0.9131994,8.290588640924826,59.05758299923036,
depth_noise,low,0.04,105701,0.0585,13.21158299833769,17,1,ppo_shield,lateral_maneuver,Lateral Maneuver,stereo,0010,2,4,45,35,0.0,0.0,0.0,0.09537553042173386,1,0,goal_reached,48,62.91168824543139,53.009433122794285,0.0,0.8426007090446154,0.8426007090446154,9.799957275390625,0.04824892651973939,0.34625768661499023,0.04910057788828806,0.3830040395259857,0.16476690184880477,0.7565454244613647,1,17,0.3541666666666667,13.27008299833769,0.6215652083333333,0.5730835000000001,0.80618125,0.8105000208333335,0.7947915,0.95206425,14.702148227504356,71.97475000066333,
depth_noise,low,0.04,96423,0.052833,169.17329100033385,18,1,ppo_shield,lateral_maneuver,Lateral Maneuver,mono,0010,2,4,45,35,0.0,0.036651235073804855,0.01976192742586136,0.05917733162641525,1,0,goal_reached,43,60.811183182043045,53.009433122794285,0.0,0.8717053401856429,0.8717053401856429,1.0,0.0008329826153137467,0.036651235073804855,0.018400205360111697,0.10371773689985275,0.06650295907637371,0.774375855922699,1,6,0.13953488372093023,169.22612400033384,0.6461491162790698,0.572292,1.0664118999999999,0.8072983488372092,0.792458,0.9200077,170.67957146545012,65.34816699786461,
depth_noise,low,0.04,98024,0.06375,9.763624999322928,19,1,ppo_shield,stress_density,Stress Density,stereo,0040,2,4,29,7,0.0,0.0,0.0,0.0006924272747710347,1,0,goal_reached,28,38.76955262170047,27.16615541441225,0.0,0.7007085090583827,0.7007085090583827,1.0,0.0,0.0,0.013178229335984537,0.10758884996175766,0.06944364362644802,0.38279515504837036,0,13,0.4642857142857143,9.82737499932293,0.6353273214285714,0.5848955,0.9334732499999999,0.7959643214285715,0.783146,0.8911084499999999,11.258666642180073,41.999291999673005,
depth_noise,low,0.04,89068,0.062458,6.436416999349603,20,1,ppo_shield,stress_density,Stress Density,mono,0040,2,4,29,7,0.0,0.07040894776582718,0.0,0.08638119697570801,1,0,goal_reached,29,40.18376618407357,27.16615541441225,0.0,0.6760480162553624,0.6760480162553624,1.0,0.0023469649255275725,0.07040894776582718,0.019564431564261516,0.10523072630167007,0.0009131404193938352,0.009514075703918934,0,13,0.4482758620689655,6.498874999349604,0.6620662068965517,0.585042,1.0250251999999997,0.8200416896551723,0.792417,1.0061003999999998,7.980982895901327,45.02724999838392,
depth_noise,low,0.04,91538,0.054083,12.161624999862397,21,2,ppo_shield,baseline_open,Baseline Open,stereo,0020,4,2,36,46,0.0,0.0,0.06971237063407898,0.0,1,0,goal_reached,52,69.39696961966995,54.405882034941776,0.0,0.7839806598632935,0.7839806598632935,2.0,0.07450355005995282,0.43769291043281555,0.08335442696522288,0.45814192295074463,0.01806526019760409,0.09567324072122574,0,18,0.34615384615384615,12.215707999862397,0.6436345384615384,0.5713745,1.0628538,0.8086227115384614,0.788958,0.9672937499999998,13.667965249862398,79.0766669997538,
depth_noise,low,0.04,82934,0.057042,8.002416998351691,22,2,ppo_shield,baseline_open,Baseline Open,mono,0020,4,2,36,46,0.0,0.0,0.0,0.05329550430178642,1,0,goal_reached,46,64.22539674441614,54.405882034941776,0.0,0.8471085394995541,0.8471085394995541,1.399993896484375,0.0,0.0,0.014478847944237132,0.13036364316940308,0.12674101514842043,0.492336243391037,0,7,0.15217391304347827,8.05945899835169,0.6454012826086957,0.5711665,1.0716145,0.8005887826086955,0.7833330000000001,0.9204162499999999,9.505449063569081,69.52195799749461,
depth_noise,low,0.04,96731,0.058458,9.967291000066325,23,2,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,11,9,45,2,0.0,0.0,0.03984818980097771,0.0,1,0,goal_reached,35,49.083261120685215,34.713109915419565,0.0,0.7072290863084152,0.7072290863084152,1.0,0.0,0.0,0.01600535756572046,0.08594405651092529,0.1766741418944192,0.4742642939090729,0,21,0.6,10.025749000066325,0.6264796285714285,0.573708,0.9676037999999999,0.8079964285714287,0.788,0.9624622999999998,11.460225057209183,52.59187499905238,
depth_noise,low,0.04,87869,0.060083,6.563708000612678,24,2,ppo_shield,dense_corridor,Dense Corridor,mono,0050,11,9,45,2,0.0,0.0,0.0,0.0,1,0,goal_reached,35,49.083261120685215,34.713109915419565,0.0,0.7072290863084152,0.7072290863084152,2.79998779296875,0.0,0.0,0.008386003649017463,0.08529317378997803,0.05257871492734681,0.21345826983451843,0,21,0.6,6.623791000612678,0.6575548285714286,0.573208,1.0520876,0.8026284857142858,0.786916,0.918383,8.083974314898391,53.45862499962095,
depth_noise,low,0.04,106170,0.052875,8.926332999180886,25,2,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,11,9,45,2,0.0,0.0,0.0,0.0013230126351118088,1,0,goal_reached,35,48.25483399593902,34.713109915419565,0.0,0.7193706213628445,0.7193706213628445,1.0,0.0,0.0,0.013226387123318596,0.07250978797674179,0.02230273356578749,0.2779422998428345,0,22,0.6285714285714286,8.979207999180886,0.6370499714285714,0.576042,0.9626418999999995,0.8043131428571428,0.786834,0.9315546,10.4205711134666,52.81249999825377,
depth_noise,low,0.04,96866,0.055708,6.788624999899184,26,2,ppo_shield,obstacle_cluster,Obstacle Cluster,mono,0060,11,9,45,2,0.0,0.0,0.032236143946647644,0.0,1,0,goal_reached,35,49.083261120685215,34.713109915419565,0.0,0.7072290863084152,0.7072290863084152,2.79998779296875,0.0,0.0,0.009289536507114664,0.0401080921292305,0.01694579509894885,0.09088460355997086,0,21,0.6,6.844332999899184,0.6384560857142857,0.570917,0.9795296,0.8084536285714286,0.786625,0.9566411999999999,8.291242714184898,52.99224999907892,
