run_id,method,episodes,success_rate,successes,avg_steps,std_steps,avg_path_len,avg_final_dist,avg_hazard_encounters,avg_total_reward,std_reward,avg_hazard_penalty,elapsed_time,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_13-54-25,A*,50,0.88,44,57.32,27.71024359329957,77.28509370638314,4.777837510056613,2.4,366.7123890935743,133.60423495953486,1.3548834586143494,705.9049079418182,50,150,0.3,0.9,0.0,0,0.95,2,8,2026-04-04T18:11:58.479975
2026-04-04_13-54-25,PPO,50,0.18,9,20.94,15.211061764387125,29.6136319960926,34.02597831069666,0.82,70.30696020505475,174.98935944888527,0.47612006425857545,344.9983820915222,50,150,0.3,0.9,0.0,0,0.95,2,8,2026-04-04T18:11:58.479984
