map,profile,seed,episodes,last_100_success_rate,last_100_reward,last_100_path_efficiency,map_package,training_csv
Light/Sparse Fire,fire_light,20260530,3000,0.99,412.00454157680156,0.6377937826375909,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/maps/paper1_exact_light_sparse_map.npz,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/runs/light_sparse/training_episode_metrics_2026-06-18_20-24-57.csv
Moderate Fire,fire_moderate,20360530,3000,1.0,415.7056426303313,0.6375924169523347,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/maps/paper1_exact_moderate_map.npz,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/runs/moderate/training_episode_metrics_2026-06-18_20-24-57.csv
Dense/Heavy Fire,fire_dense,20460530,3000,0.0,170.0739802402267,0.03260235220081617,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/maps/paper1_exact_dense_heavy_map.npz,/Users/clintonimaro/Documents/Projects/uav-research/navigation/comparison_results/paper1_fire_density_training_3000/runs/dense_heavy/training_episode_metrics_2026-06-18_20-24-57.csv
