hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,start_perceived_obstacle_risk,goal_perceived_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,progress_efficiency,min_obstacle_distance_cells,mean_obstacle_risk,max_obstacle_risk,mean_perceived_obstacle_risk,max_perceived_obstacle_risk,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,shield_interventions,shield_intervention_rate,perception_latency_ms,avg_ppo_decision_latency_ms,p50_ppo_decision_latency_ms,p95_ppo_decision_latency_ms,avg_shield_decision_latency_ms,p50_shield_decision_latency_ms,p95_shield_decision_latency_ms,avg_total_inference_latency_ms,elapsed_ms,selected_visual
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,0.0,0.0,1,0,goal_reached,54,72.22539674441613,56.85068161420758,0.0,0.7871286857085047,0.7871286857085047,2.0,0.07829334729097107,0.43769291043281555,0.07829334729097107,0.43769291043281555,0.0,0.0,0,17,0.3148148148148148,12.161624999862397,1.503471462962963,0.7147915,0.97412775,0.8965170185185186,0.8610005000000001,1.160067,14.56161348134388,134.50191699666902,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week08_analysis_ablation/final/visuals/week08_selected_stereo_none_hazard_density_trajectory.png
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,0.0,0.1527777761220932,1,0,goal_reached,44,59.740115370177584,56.85068161420758,0.0,0.9516332745916922,0.9516332745916922,1.0,0.0074545604901181325,0.16512343287467957,0.0074545604901181325,0.16512343287467957,0.0,0.0,0,7,0.1590909090909091,8.002416998351691,1.0994413181818183,0.892875,2.3400474500000015,1.102981931818182,0.977292,1.7887911000000003,10.20484024835169,101.63249998004176,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week08_analysis_ablation/final/visuals/week08_selected_mono_none_hazard_density_trajectory.png
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,0.0,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0.5897435897435898,9.967291000066325,1.200195512820513,1.004958,1.9267250000000014,1.170439153846154,1.012625,2.0678330000000007,12.337925666732993,97.38508399459533,
none,24454,4,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,0.16666662693023682,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.004166665673255921,0.16666662693023682,0.004166665673255921,0.16666662693023682,0.0,0.0,0,23,0.5897435897435898,6.563708000612678,0.842638871794872,0.824875,0.9543785,0.7974166923076924,0.77875,0.8865083,8.203763564715242,66.92991600721143,
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0.0,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0.5897435897435898,8.926332999180886,0.6489914615384615,0.616417,0.81015,0.811254153846154,0.781167,0.9219205,10.3865786145655,59.6792500000447,
none,29256,6,0,ppo_shield,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,0.16666662693023682,0.0,1,0,goal_reached,39,54.740115370177584,38.63935817272331,0.0,0.7058691402352074,0.7058691402352074,1.0,0.004166665673255921,0.16666662693023682,0.004166665673255921,0.16666662693023682,0.0,0.0,0,23,0.5897435897435898,6.788624999899184,0.5852061794871796,0.567875,0.6615913999999999,0.7834733333333334,0.772334,0.8551292,8.157304512719698,55.78866699943319,
none,29209,7,0,ppo_shield,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,0.0,0.0,1,0,goal_reached,44,60.982756057296854,56.22277118748239,0.0,0.9219453960830799,0.9219453960830799,9.799957275390625,0.06591648895086513,0.43711408972740173,0.06591648895086513,0.43711408972740173,0.0,0.0,0,6,0.13636363636363635,13.21158299833769,0.5912065454545454,0.5737085,0.64678935,0.7946629090909091,0.7753125000000001,0.8832331,14.597452452883145,63.71616700198501,
none,29209,8,0,ppo_shield,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,0.0,0.11824844777584076,1,0,goal_reached,44,61.811183182043045,56.22277118748239,0.0,0.9095889820115244,0.9095889820115244,1.0,0.0026277432839075725,0.11824844777584076,0.0026277432839075725,0.11824844777584076,0.0,0.0,0,5,0.11363636363636363,169.17329100033385,0.5839138863636364,0.566542,0.70198755,0.7838380909090908,0.774875,0.845359,170.54104297760657,62.91000000783242,
none,24705,9,0,ppo_shield,stress_density,Stress Density,stereo,0040,2,2,29,9,0.0,0.0,0.0,0.0,1,0,goal_reached,27,29.899494936611667,27.892651361962706,0.0,0.9328803520292378,0.9328803520292378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0.7407407407407407,9.763624999322928,0.5767283703703704,0.561916,0.6330876000000001,0.7873828888888889,0.776,0.8636081,11.127736258582187,38.498417008668184,
none,24705,10,0,ppo_shield,stress_density,Stress Density,mono,0040,2,2,29,9,0.0,0.0,0.0,0.0,1,0,goal_reached,27,38.18376618407357,27.892651361962706,0.0,0.7304845527154081,0.7304845527154081,1.399993896484375,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.37037037037037035,6.436416999349603,0.5852777037037037,0.564708,0.6453537,0.8030246666666665,0.781208,0.9168668,7.824719369719974,39.15087500354275,
