hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,perceived_obstacle_risk,hazard_risk,distance_to_goal,shield_decision_latency_ms
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,7,16,8,3,5,obstacle_risk,212.3353967522204,-7.882325389484403,0.0,0.0,0.0,31.575306807693888,1.539958
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,18,8,3,5,obstacle_risk,211.83489537241368,-8.153475006327948,0.0,0.0,0.0,29.614185789921695,1.362333
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,11,20,8,3,5,obstacle_risk,10213.889653164691,-8.435005224848016,0.0,0.0,0.0,27.65863337187866,1.242458
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,13,22,8,3,5,obstacle_risk,10213.776052737236,-8.728710832980013,0.0,0.0,0.0,25.709920264364882,1.13025
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,15,24,8,3,5,obstacle_risk,10213.677276603208,-9.036752768317463,0.0,0.0,0.0,23.769728648009426,1.367375
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,17,26,8,3,5,obstacle_risk,10213.598094198975,-9.361706980985073,0.0,0.0,0.0,21.840329667841555,1.004208
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,19,28,8,3,5,obstacle_risk,10213.545389587447,-9.706567680136281,0.0,0.0,0.0,19.924858845171276,1.012625
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,21,30,8,3,5,obstacle_risk,10213.529340205492,-10.074611534380082,0.0,0.0,0.0,18.027756377319946,1.007667
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,23,32,8,3,5,obstacle_risk,10213.565460046368,-10.468884177132896,0.0,0.0,0.0,16.15549442140351,1.139583
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,25,34,8,3,5,obstacle_risk,10213.678135439097,-10.890690651426572,0.0,0.0,0.0,14.317821063276353,0.990708
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,27,36,8,3,5,obstacle_risk,10213.906856169198,-11.33544249112773,0.0,0.0,0.0,12.529964086141668,0.893584
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,29,38,8,3,5,obstacle_risk,10213.522307869212,-11.781343140051181,0.0,0.0,0.0,10.816653826391969,0.884542
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,30,39,7,3,5,lookahead_safer,-5.91570136253389,-11.814369391551978,0.0,0.0,0.0,9.433981132056603,0.895459
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,31,40,6,3,5,lookahead_safer,-6.1776771893543145,-11.788245934716674,0.0,0.0,0.0,8.06225774829855,0.92575
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,32,41,5,3,5,lookahead_safer,-6.482470430800916,-11.642541117705843,0.0,0.0,0.0,6.708203932499369,0.902958
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,34,43,5,3,5,lookahead_safer,-5.326643068012764,-12.40680858026634,0.0,0.0,0.0,5.0,0.830334
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,35,44,4,3,5,lookahead_safer,-5.391187393102097,-12.203219233546175,0.0,0.0,0.0,3.605551275463989,0.860125
