mode,hazard_density,runs,successes,success_rate,collisions,collision_rate,timeouts,timeout_rate,avg_steps,avg_final_distance,avg_path_length,avg_path_efficiency,avg_min_obstacle_distance_cells,avg_hazard_exposure_steps,avg_shield_interventions,avg_total_inference_latency_ms
mono,none,250,250,1.0,0,0.0,0,0.0,37.8,0.0,52.877373670380635,0.7994254039955379,1.32787353515625,0.0,13.16,40.80587489408998
mono,low,250,250,1.0,0,0.0,0,0.0,37.824,0.0,52.88480512788572,0.7993419845385868,1.32787353515625,0.0,13.22,40.83288514723614
mono,moderate,250,238,0.952,0,0.0,12,0.048,46.0,0.35342057242191643,61.38883860054258,0.7548061251957929,1.441423828125,0.032,20.644,40.83591524261999
mono,high,250,193,0.772,0,0.0,57,0.228,75.408,1.8267039883957172,93.74898085933427,0.5977021284496825,1.558260986328125,0.196,47.4,40.844150988856285
stereo,none,250,230,0.92,0,0.0,20,0.08,52.92,3.1648064711763975,72.4377430590203,0.7395236830790204,2.77574462890625,0.0,31.44,12.226830203654346
stereo,low,250,227,0.908,0,0.0,23,0.092,54.96,3.1940087234953802,74.59372285648476,0.7303779675614098,2.7949569091796875,0.0,33.336,12.24587987159181
stereo,moderate,250,185,0.74,0,0.0,65,0.26,82.672,5.594911009752853,103.50446599203177,0.5848157654595395,2.8138477783203126,0.032,58.968,12.259470523957113
stereo,high,250,109,0.436,0,0.0,141,0.564,131.588,12.044370523176482,149.90426683817645,0.35215627506850844,3.135348388671875,0.396,105.932,12.257496036273544
