run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_16-38-42,A*,1,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.298948
2026-04-04_16-38-42,A*,2,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299135
2026-04-04_16-38-42,A*,3,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299142
2026-04-04_16-38-42,A*,4,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299148
2026-04-04_16-38-42,A*,5,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299154
2026-04-04_16-38-42,A*,6,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299160
2026-04-04_16-38-42,A*,7,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299165
2026-04-04_16-38-42,A*,8,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299171
2026-04-04_16-38-42,A*,9,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299176
2026-04-04_16-38-42,A*,10,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299182
2026-04-04_16-38-42,A*,11,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299187
2026-04-04_16-38-42,A*,12,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299192
2026-04-04_16-38-42,A*,13,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299198
2026-04-04_16-38-42,A*,14,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299203
2026-04-04_16-38-42,A*,15,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299209
2026-04-04_16-38-42,A*,16,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299214
2026-04-04_16-38-42,A*,17,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299220
2026-04-04_16-38-42,A*,18,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299225
2026-04-04_16-38-42,A*,19,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299231
2026-04-04_16-38-42,A*,20,0,126,163.27922061357862,12.806248474865697,0,127.39815263829433,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299236
2026-04-04_16-38-42,PPO,1,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299242
2026-04-04_16-38-42,PPO,2,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299248
2026-04-04_16-38-42,PPO,3,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299253
2026-04-04_16-38-42,PPO,4,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299259
2026-04-04_16-38-42,PPO,5,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299264
2026-04-04_16-38-42,PPO,6,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299270
2026-04-04_16-38-42,PPO,7,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299275
2026-04-04_16-38-42,PPO,8,0,10,14.142135623730955,49.49747468305833,0,-45.81978731195736,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T20:46:42.299281
