run_id,method,episodes,success_rate,successes,avg_steps,std_steps,avg_path_len,avg_final_dist,avg_hazard_encounters,avg_total_reward,std_reward,avg_hazard_penalty,elapsed_time,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_11-37-39,A*,50,0.92,46,86.44,19.033822527280222,119.45282092113557,2.5566791208778823,1.26,634.436329916167,117.00292788081163,0.6926083827018737,1091.8231401443481,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.723782
2026-04-04_11-37-39,PPO,50,0.34,17,48.58,27.656529066388646,68.70249486008488,44.43459012976264,0.64,298.9860255674661,281.56484861480385,0.33928097307682037,696.3193089962006,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.723795
