frame_id,baseline,method,mae_disparity_px,rmse_disparity_px,bad_pixel_3px_rate,bad_pixel_5pct_rate,valid_estimate_fraction,robust_min_depth_m,mean_depth_m,obstacle_fraction,max_risk_fraction,decision,left_clearance_m,center_clearance_m,right_clearance_m,center_alert_fraction,inference_latency_ms,collision_threshold_m,scale_factor,risk_min,risk_max,risk_shape_match,obstacle_shape_match,risk_mae_vs_stereo,risk_rmse_vs_stereo,risk_agreement_0p5,obstacle_iou_vs_stereo
0010,ZM-Baseline-25,Intel MiDaS_small,30.209331512451172,35.627437591552734,0.9752353376787132,0.9608382090986116,0.28914158950617286,0.30719025433063507,0.38800570368766785,0.28914158950617286,0.28914158950617286,TURN_RIGHT,0.3349877119064331,0.3684173583984375,0.3833906054496765,0.23288773148148148,169.17329100033385,2.5,0.441327212048258,0.0,1.0,True,True,0.37615546584129333,0.6133151650428772,0.6238445216049383,0.09942824946427252
0020,ZM-Baseline-25,Intel MiDaS_small,33.24770736694336,48.99968338012695,0.96402782572925,0.9358715373935783,0.262602237654321,0.20445592284202577,0.3325245976448059,0.262602237654321,0.262602237654321,TURN_RIGHT,0.2133860856294632,0.265775203704834,0.3215098261833191,0.22350115740740742,8.002416998351691,2.5,0.441327212048258,0.0,1.0,True,True,0.3751465976238251,0.6124921441078186,0.6248533950617284,0.0657513583105547
0030,ZM-Baseline-25,Intel MiDaS_small,13.829181671142578,15.910937309265137,0.9766500287273772,0.9550685866130423,0.21487654320987654,0.38247126668691633,0.4357030987739563,0.21487654320987654,0.21487654320987654,TURN_RIGHT,0.40514313578605654,0.4227403700351715,0.4176135778427124,0.18058449074074073,7.000749999861,2.5,0.441327212048258,0.0,1.0,True,True,0.4182349443435669,0.6467108726501465,0.5817650462962963,0.0747653979593143
0040,ZM-Baseline-25,Intel MiDaS_small,35.01063919067383,44.867530822753906,0.9570755895168228,0.9323663006373905,0.4170408950617284,0.2920317506790161,0.3596632480621338,0.4170408950617284,0.4170408950617284,TURN_RIGHT,0.30293693840503694,0.3023529350757599,0.30592659711837766,0.40008680555555554,6.436416999349603,2.5,0.441327212048258,0.0,1.0,True,True,0.4855189025402069,0.6967918872833252,0.5144810956790123,0.4025049436553851
0050,ZM-Baseline-25,Intel MiDaS_small,55.25460433959961,64.13763427734375,0.9700340862269169,0.9225755702887964,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.563708000612678,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0060,ZM-Baseline-25,Intel MiDaS_small,54.43600845336914,63.26792907714844,0.9698467992658351,0.9229876016031764,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.788624999899184,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0070,ZM-Baseline-25,Intel MiDaS_small,51.42571258544922,59.66313934326172,0.9710079784245421,0.9255347042738884,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.5405839995946735,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0080,ZM-Baseline-25,Intel MiDaS_small,116.1469955444336,122.32272338867188,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.561083999258699,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0090,ZM-Baseline-25,Intel MiDaS_small,116.4007568359375,122.59007263183594,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.4867080000112765,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0100,ZM-Baseline-25,Intel MiDaS_small,114.17921447753906,120.4088134765625,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.479749998106854,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0110,ZM-Baseline-25,Intel MiDaS_small,97.78616333007812,106.33277130126953,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.5985420005745254,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0120,ZM-Baseline-25,Intel MiDaS_small,107.48839569091797,113.2287826538086,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.215624998731073,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0130,ZM-Baseline-25,Intel MiDaS_small,116.83157348632812,123.00220489501953,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.919499999639811,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
0140,ZM-Baseline-25,Intel MiDaS_small,116.84172058105469,123.01148223876953,1.0,1.0,0.051498842592592596,0.22999639809131622,0.30883854627609253,0.051498842592592596,0.051498842592592596,SLOW_OR_HOLD,0.0,0.0,0.0,0.0,6.687874996714527,2.5,0.441327212048258,0.0,1.0,True,True,0.817158579826355,0.9039682149887085,0.1828414351851852,0.012497202640707172
