run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_13-01-35,A*,1,1,86,112.50966799187798,0.0,4,411.41375142626475,2.4701480865478516,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.843645
2026-04-04_13-01-35,A*,2,1,45,63.63961030678923,0.0,0,412.31515790300455,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844225
2026-04-04_13-01-35,A*,3,1,45,63.63961030678923,0.0,2,412.9926876137341,1.2191839218139648,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844231
2026-04-04_13-01-35,A*,4,1,45,63.63961030678923,0.0,0,411.73769354132304,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844236
2026-04-04_13-01-35,A*,5,1,61,77.98275605729685,0.0,0,413.9213834725631,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844241
2026-04-04_13-01-35,A*,6,1,45,63.63961030678923,0.0,2,413.0448772770576,1.0827414989471436,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844246
2026-04-04_13-01-35,A*,7,1,45,63.63961030678923,0.0,0,413.3260500889304,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844251
2026-04-04_13-01-35,A*,8,1,52,69.39696961966995,0.0,2,412.9226389926869,1.3031362295150757,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844256
2026-04-04_13-01-35,A*,9,0,150,192.24978336205598,30.265491900843113,0,161.51550098023083,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844261
2026-04-04_13-01-35,A*,10,1,45,63.63961030678923,0.0,0,413.3071156472905,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844266
2026-04-04_13-01-35,A*,11,1,48,65.39696961966996,0.0,0,413.8053922779925,0.0,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844271
2026-04-04_13-01-35,A*,12,0,5,5.82842712474619,60.14149981501958,3,-119.09536648386732,2.1159128546714783,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844275
2026-04-04_13-01-35,A*,13,1,47,65.63961030678922,0.0,3,412.97201389099286,1.3328118324279785,50,150,0.15,0.9,0.0,0,0.95,2,8,2026-04-04T17:18:43.844280
