run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_12-43-36,A*,1,1,46,64.22539674441613,0.0,4,412.9612928675288,1.9345478415489197,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384313
2026-04-04_12-43-36,A*,2,1,63,81.63961030678922,0.0,3,408.3165048257394,1.8345348834991455,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384583
2026-04-04_12-43-36,A*,3,1,58,73.74011537017756,0.0,0,411.18539160359916,0.0,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384591
2026-04-04_12-43-36,A*,4,1,57,74.81118318204302,0.0,4,411.33459230553007,2.611773133277893,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384597
2026-04-04_12-43-36,A*,5,0,81,105.43860018001253,9.055385138137417,8,162.95612252892118,4.282478988170624,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384603
2026-04-04_12-43-36,A*,6,1,48,67.05382386916233,0.0,4,412.167879930034,1.9340582489967346,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384612
2026-04-04_12-43-36,A*,7,0,145,190.97770542341382,6.324555320336759,10,163.09202395643888,5.331718742847443,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384618
2026-04-04_12-43-36,A*,8,1,45,63.63961030678923,0.0,5,413.13172531578516,2.8443751335144043,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384624
2026-04-04_12-43-36,A*,9,1,58,76.22539674441613,0.0,3,410.6926067065658,1.875876545906067,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384630
2026-04-04_12-43-36,A*,10,1,58,72.91168824543135,0.0,0,396.2426658441536,0.0,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384635
2026-04-04_12-43-36,A*,11,1,55,76.12489168102779,0.0,0,409.63723405934894,0.0,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384640
2026-04-04_12-43-36,A*,12,0,2,2.414213562373095,62.96824596572466,2,-113.80297571690944,1.3288217186927795,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384645
2026-04-04_12-43-36,A*,13,1,60,81.53910524340087,0.0,10,412.68552985042936,5.75161275267601,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384651
2026-04-04_12-43-36,A*,14,1,56,74.22539674441612,0.0,7,411.22816129185657,4.87344628572464,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384656
2026-04-04_12-43-36,A*,15,0,131,166.2081528017131,6.0,0,172.29820597185204,0.0,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384662
2026-04-04_12-43-36,A*,16,1,59,78.46803743153541,0.0,0,409.29287841009705,0.0,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384667
2026-04-04_12-43-36,A*,17,1,47,65.63961030678924,0.0,3,413.1006951871986,1.072074681520462,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384672
2026-04-04_12-43-36,A*,18,1,57,77.29646455628159,0.0,6,411.6678620797957,3.652461349964142,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384677
2026-04-04_12-43-36,A*,19,1,54,73.8822509939085,0.0,1,412.571427324353,0.39006611704826355,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384682
2026-04-04_12-43-36,A*,20,1,52,72.71067811865468,0.0,1,408.9077912204878,0.544692873954773,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384688
2026-04-04_12-43-36,A*,21,1,45,63.63961030678923,0.0,2,412.4348997653482,1.2528672218322754,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384693
2026-04-04_12-43-36,A*,22,1,67,86.4680374315354,0.0,8,408.35955096262774,4.2619704604148865,50,150,0.1,0.9,0.0,0,0.95,2,8,2026-04-04T17:01:33.384698
