profile,environment,method,episodes,success_rate,successes,avg_steps,avg_path_length,avg_path_efficiency,avg_final_distance,avg_hazard_encounters,avg_total_reward,avg_fire_zone_count,avg_fire_intensity,avg_high_risk_cell_fraction
fire_dense,Dense/Heavy Fire,A*,500,0.766,383,73.06,95.16492096960259,0.5732704402292127,8.833577442254512,0.07,318.5940177028247,7.012,0.8764133946927181,0.0781216
fire_dense,Dense/Heavy Fire,PPO,500,0.034,17,12.696,17.954855387888816,0.034000000000000016,45.68475491890047,0.102,-17.24022505929305,7.012,0.8764133946927181,0.0781216
fire_light,Light/Sparse Fire,A*,500,0.998,499,50.134,68.49857250137353,0.9263846033229012,0.1258729518204765,0.018,411.68680134525863,1.506,0.6484734945104471,0.0078176
fire_light,Light/Sparse Fire,PPO,500,0.002,1,19.174,27.116130844941726,0.0020000000000000005,36.52347946184756,0.424,20.95789064194954,1.506,0.6484734945104471,0.0078176
fire_moderate,Moderate Fire,A*,500,0.976,488,55.702,74.34575244241302,0.8382493987427065,0.7707192534527703,0.078,403.18235058528893,3.528,0.7771797615144228,0.0317688
fire_moderate,Moderate Fire,PPO,500,0.0,0,15.87,22.443569234861023,0.0,41.19604107192825,0.234,-3.1232131453496734,3.528,0.7771797615144228,0.0317688
