window,episodes,success_rate,avg_reward,avg_steps,avg_navigation_efficiency
last_100,100,0.27,238.92033149366173,136.99,0.18711300197882771
last_300,300,0.29333333333333333,217.00190555435793,123.53666666666666,0.1803471261913521
last_1000,1000,0.368,226.98526151005595,117.106,0.20046279337809902
all_3000,3000,0.32,212.99943072422974,120.251,0.18302800857394172
