episode,reward,success,steps,navigation_efficiency
1,-38.93414664373376,0,200,0.015006090152632831
2,-15.688636620204836,0,200,0.01582078896403802
3,29.017151236141082,0,200,0.01904120901046246
4,-28.773933325684037,0,200,0.01531636424944194
5,-13.612151290097428,0,200,0.01582078896403802
6,116.30286087134627,0,200,0.025900705027426297
7,17.28248288230757,0,200,0.017854135352657726
8,8.3379187493023,0,200,0.01692611593470657
9,2.731492765427474,0,200,0.01697743884386866
10,-284.106391196617,0,200,0.01695685271338864
11,12.168902908853216,0,200,0.01830709261918721
12,9.506298304106275,0,200,0.017328524620093738
13,17.989658051363538,0,200,0.017618438119702342
14,75.89833296951994,0,200,0.021733637335802896
15,-79.50086849079797,0,27,0.017268410615182795
16,119.22222400661072,0,200,0.026071989572383058
17,34.70212729238596,0,200,0.0185420991539603
18,-100.26106197367665,0,29,0.016871157451044373
19,-0.6670741061311389,0,113,0.025244027941887664
20,47.49162188303536,0,200,0.0187936149850847
21,199.40820432491674,0,200,0.040748701601182456
22,62.85884288579528,0,200,0.0202075079910213
23,61.97806128186238,0,200,0.020309305818124738
24,-34.241442584774504,0,140,0.02358490566037736
25,59.01263705189478,0,200,0.02139593248805571
26,35.17520961418152,0,200,0.0185420991539603
27,-46.833180989706015,0,80,0.021211995652204125
28,25.528352060679737,0,200,0.017782416501530854
29,188.76341453477949,0,200,0.03656094404755452
30,-103.57464039884857,0,52,0.01833871989367852
31,193.64920606219158,0,200,0.036754656627071766
32,-133.6682147945437,0,4,0.015445820461789897
33,-437.4448103696318,0,78,0.015608015063019438
34,29.451103126895692,0,200,0.020930474125489092
35,-55.48787769904102,0,60,0.01897959649993066
36,52.1750277814056,0,200,0.01956791925519426
37,234.88816106115814,0,200,0.05388991066997445
38,217.61976195725504,0,200,0.04682182850818847
39,84.54275865591654,0,200,0.02187225700803285
40,-99.24695572078693,0,3,0.01598660868011541
41,63.00659128443669,0,200,0.02969498208192697
42,59.8395489098595,0,200,0.019720971225190228
43,95.04159644964273,0,200,0.023780506846657834
44,62.60478976476252,0,200,0.02042175843072472
45,142.37295621589777,0,200,0.027766094392634926
46,-69.13611221040993,0,198,0.02307290902549487
47,41.74744523527677,0,175,0.032807484852957855
48,129.61496694293282,0,200,0.026930879179716285
49,-115.39739592176211,0,33,0.018843132199347606
50,251.43889680629928,0,200,0.08662505852058643
51,226.07960224571084,0,200,0.04676223802690042
52,224.52028687394125,0,200,0.0499266418716242
53,163.0568698357879,0,200,0.030457284654202714
54,155.77539995611136,0,200,0.029314596842761307
55,-50.516422386121704,0,95,0.019887759889279655
56,248.86235097815677,0,200,0.060235627890542286
57,137.87780469680933,0,140,0.07111412614934429
58,-20.754932357159348,0,168,0.02299026925197629
59,196.5732836221014,0,200,0.040109559744621416
60,23.93216465698211,0,170,0.02940748186509551
61,-20.798610997276583,0,117,0.02313810476264951
62,-89.03528807718989,0,40,0.01812949966858577
63,175.96384655577634,0,200,0.0337529341591267
64,58.248164443116394,0,177,0.03593253973957181
65,152.8217703429424,0,200,0.02975264626080596
66,201.11355565909676,0,200,0.04059544150933319
67,304.4613059206992,0,200,0.12347173609369323
68,-81.19764378301794,0,34,0.017700891733644853
69,228.63253678100216,0,200,0.04629399180337767
70,-12.815890663108078,0,151,0.022861816462394907
71,136.7914537220593,0,200,0.0266795587280791
72,-76.96687086764561,0,56,0.017986574133985495
73,-22.80146345783963,0,90,0.021851511619474493
