profile,environment,method,episode,seed,success,steps,path_length,path_efficiency,final_distance,hazard_encounters,total_reward,hazard_penalty,elapsed_time,fire_zone_count,avg_fire_intensity,max_gt_hazard,high_risk_cell_fraction
fire_light,Light/Sparse Fire,A*,1,20260530,1,49,66.81118318204308,0.9525293113487888,0.0,0,411.82330639771027,0.0,2.477695941925049,2,0.6639945463004663,0.6902297139167786,0.0104
fire_light,Light/Sparse Fire,PPO,1,20260530,0,22,31.112698372208097,0.0,32.526911934581186,0,44.696898256903495,0.0,0.9142038822174072,2,0.6639945463004663,0.6902297139167786,0.0104
fire_light,Light/Sparse Fire,A*,2,20260531,1,49,66.8111831820431,0.9525293113487886,0.0,0,413.1291614184997,0.0,1.9461698532104492,2,0.6291275403851746,0.7062033414840698,0.0104
fire_light,Light/Sparse Fire,PPO,2,20260531,0,16,22.627416997969522,0.0,41.012193308819754,0,-15.431622815052378,0.0,0.685697078704834,2,0.6291275403851746,0.7062033414840698,0.0104
fire_light,Light/Sparse Fire,A*,3,20260532,1,49,66.81118318204308,0.9525293113487888,0.0,0,410.19037611898835,0.0,2.4181511402130127,1,0.5870530251031748,0.5870530009269714,0.0052
fire_light,Light/Sparse Fire,PPO,3,20260532,0,14,19.798989873223334,0.0,43.840620433565945,1,-15.056472105031844,0.4565967917442322,0.6501398086547852,1,0.5870530251031748,0.5870530009269714,0.0052
fire_light,Light/Sparse Fire,A*,4,20260533,1,49,67.63961030678928,0.9408630537364508,0.0,0,413.6839957658435,0.0,2.729829788208008,2,0.7367671647299623,0.7496159076690674,0.0104
fire_light,Light/Sparse Fire,PPO,4,20260533,0,26,36.76955262170047,0.0,26.870057685088806,1,63.944111195009626,0.64348304271698,1.4745769500732422,2,0.7367671647299623,0.7496159076690674,0.0104
fire_light,Light/Sparse Fire,A*,5,20260534,1,52,71.05382386916236,0.8956535600951537,0.0,0,411.0479881266351,0.0,2.6101958751678467,1,0.6312599182658991,0.6312599182128906,0.0052
fire_light,Light/Sparse Fire,PPO,5,20260534,0,23,32.52691193458119,0.0,31.11269837220809,0,50.46548865270397,0.0,1.1702210903167725,1,0.6312599182658991,0.6312599182128906,0.0052
fire_light,Light/Sparse Fire,A*,6,20260535,1,50,68.22539674441617,0.9327847596869825,0.0,0,412.6198816557928,0.0,1.834080696105957,1,0.5975483080536963,0.5975483059883118,0.0052
