episode,episode_variant,scenario_id,scenario_name,mode,step,action,action_confidence,row,col,cell_risk,distance_to_goal,progress,done,done_reason
1,0,baseline_open,Baseline Open,stereo,1,3,0.9900021553039551,3,3,0.0,55.44366510251645,1.4070165116911326,0,
1,0,baseline_open,Baseline Open,stereo,2,3,0.9889649152755737,4,4,0.0,54.037024344425184,1.4066407580912639,0,
1,0,baseline_open,Baseline Open,stereo,3,3,0.9878734946250916,5,5,0.0,52.630789467763066,1.4062348766621184,0,
1,0,baseline_open,Baseline Open,stereo,4,3,0.9868060350418091,6,6,0.0,51.22499389946279,1.4057955683002774,0,
1,0,baseline_open,Baseline Open,stereo,5,3,0.985713005065918,7,7,0.0,49.8196748283246,1.4053190711381873,0,
1,0,baseline_open,Baseline Open,stereo,6,3,0.9845792055130005,8,8,0.0,48.41487374764082,1.4048010806837823,0,
1,0,baseline_open,Baseline Open,stereo,7,3,0.9833922386169434,9,9,0.0,47.01063709417264,1.4042366534681818,0,
1,0,baseline_open,Baseline Open,stereo,8,3,0.9821690917015076,10,10,0.0,45.60701700396552,1.40362009020712,0,
1,0,baseline_open,Baseline Open,stereo,9,3,0.9809306263923645,11,11,0.0,44.204072210600685,1.4029447933648314,0,
1,0,baseline_open,Baseline Open,stereo,10,3,0.9796422719955444,12,12,0.2405477911233902,42.80186911806539,1.402203092535295,0,
1,0,baseline_open,Baseline Open,stereo,11,3,0.9783299565315247,13,13,0.11689814180135727,41.400483088968905,1.4013860290964857,0,
1,0,baseline_open,Baseline Open,stereo,12,3,0.9770210385322571,14,14,0.0,40.0,1.4004830889689046,0,
1,0,baseline_open,Baseline Open,stereo,13,3,0.975771963596344,15,15,0.0364583320915699,38.600518131237564,1.399481868762436,0,
1,0,baseline_open,Baseline Open,stereo,14,3,0.9745678305625916,16,16,0.8070987462997437,37.20215047547655,1.3983676557610139,0,
1,0,baseline_open,Baseline Open,stereo,15,3,0.9733389616012573,17,17,0.6795909404754639,35.805027579936315,1.3971228955402353,0,
1,0,baseline_open,Baseline Open,stereo,16,3,0.9721260666847229,18,18,0.4596836566925049,34.40930106817051,1.3957265117658082,0,
1,0,baseline_open,Baseline Open,stereo,17,3,0.9709441661834717,19,19,0.014467592351138592,33.015148038438355,1.394153029732152,0,
1,0,baseline_open,Baseline Open,stereo,18,3,0.9698077440261841,20,20,0.2391975224018097,31.622776601683793,1.392371436754562,0,
1,0,baseline_open,Baseline Open,stereo,19,3,0.9687578678131104,21,21,0.631172776222229,30.23243291566195,1.3903436860218434,0,
1,0,baseline_open,Baseline Open,stereo,20,3,0.9677793383598328,22,22,0.10821758955717087,28.844410203711913,1.3880227119500361,0,
1,0,baseline_open,Baseline Open,stereo,21,3,0.9668407440185547,23,23,0.5385802388191223,27.459060435491963,1.3853497682199496,0,
1,0,baseline_open,Baseline Open,stereo,22,3,0.9659693241119385,24,24,0.6749613285064697,26.076809620810597,1.3822508146813668,0,
1,0,baseline_open,Baseline Open,stereo,23,3,0.9650939106941223,25,25,0.5989583134651184,24.698178070456937,1.37863155035366,0,
1,0,baseline_open,Baseline Open,stereo,24,3,0.9642153382301331,26,26,0.03221450373530388,23.323807579381203,1.3743704910757337,0,
1,0,baseline_open,Baseline Open,stereo,25,3,0.9633358120918274,27,27,0.025077160447835922,21.95449840010015,1.3693091792810534,0,
1,0,baseline_open,Baseline Open,stereo,26,3,0.962421715259552,28,28,0.10898919403553009,20.591260281974,1.363238118126148,0,
1,0,baseline_open,Baseline Open,stereo,27,3,0.9614124298095703,29,29,0.0,19.235384061671343,1.3558762203026582,0,
1,0,baseline_open,Baseline Open,stereo,28,3,0.9603718519210815,30,30,0.0868055522441864,17.88854381999832,1.346840241673025,0,
1,0,baseline_open,Baseline Open,stereo,29,3,0.959408700466156,31,31,0.0,16.55294535724685,1.33559846275147,0,
1,0,baseline_open,Baseline Open,stereo,30,3,0.9584367871284485,32,32,0.0,15.231546211727817,1.321399145519031,0,
1,0,baseline_open,Baseline Open,stereo,31,3,0.9573479294776917,33,33,0.0,13.92838827718412,1.303157934543698,0,
