episode,episode_variant,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_risk,goal_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,mean_path_risk,max_path_risk,elapsed_ms,trajectory_png
18,1,lateral_maneuver,Lateral Maneuver,mono,0010,2,4,45,35,0.0,0.036651235073804855,0,1,collision_risk,37,52.32590180780449,53.009433122794285,8.48528137423857,0.0,0.04598155617713928,0.9999998807907104,22.932584000955103,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_018_lateral_maneuver_mono_trajectory.png
19,1,stress_density,Stress Density,stereo,0040,2,4,29,7,0.0,0.0,0,1,collision_risk,6,8.485281374238571,27.16615541441225,21.213203435596427,0.0,0.1428571492433548,1.0,3.562249999959022,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_019_stress_density_stereo_trajectory.png
20,1,stress_density,Stress Density,mono,0040,2,4,29,7,0.0,0.07040894776582718,0,1,collision_risk,28,39.59797974644666,27.16615541441225,25.019992006393608,0.0,0.06663074344396591,0.9999998807907104,18.007000002398854,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_020_stress_density_mono_trajectory.png
21,2,baseline_open,Baseline Open,stereo,0020,4,2,36,46,0.0,0.0,0,0,max_steps,200,65.63961030678922,54.405882034941776,13.341664064126334,0.0,0.11044890433549881,0.7482637763023376,127.6983330026269,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_021_baseline_open_stereo_trajectory.png
22,2,baseline_open,Baseline Open,mono,0020,4,2,36,46,0.0,0.0,0,1,collision_risk,36,50.9116882454314,54.405882034941776,8.94427190999916,0.0,0.030728645622730255,1.0,23.38370800134726,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_022_baseline_open_mono_trajectory.png
23,2,dense_corridor,Dense Corridor,stereo,0050,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.7285493612289429,1.0,2.370040998357581,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_023_dense_corridor_stereo_trajectory.png
24,2,dense_corridor,Dense Corridor,mono,0050,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,0.0,126.80087500120862,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_024_dense_corridor_mono_trajectory.png
25,2,obstacle_cluster,Obstacle Cluster,stereo,0060,11,9,45,2,0.0,0.0,0,1,collision_risk,4,5.656854249492381,34.713109915419565,31.953090617340916,0.0,0.7285493612289429,1.0,2.367666998907225,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_025_obstacle_cluster_stereo_trajectory.png
26,2,obstacle_cluster,Obstacle Cluster,mono,0060,11,9,45,2,0.0,0.0,0,0,max_steps,200,55.740115370177584,34.713109915419565,47.16990566028302,0.0,0.0,0.0,130.51370899847825,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_026_obstacle_cluster_mono_trajectory.png
27,2,lateral_maneuver,Lateral Maneuver,stereo,0010,4,2,44,37,0.0,0.0,0,0,max_steps,200,65.63961030678922,53.150729063673246,13.0,0.0,0.0395226776599884,0.7974535822868347,147.72274999995716,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_027_lateral_maneuver_stereo_trajectory.png
