frame_id,baseline,method,mae_disparity_px,rmse_disparity_px,bad_pixel_3px_rate,bad_pixel_5pct_rate,valid_estimate_fraction,robust_min_depth_m,mean_depth_m,obstacle_fraction,max_risk_fraction,decision,left_clearance_m,center_clearance_m,right_clearance_m,center_alert_fraction,inference_latency_ms,collision_threshold_m
0010,ZM-Baseline-25,OpenCV StereoSGBM,25.72744369506836,32.11412811279297,0.952362588753034,0.9233377946147041,0.1700733024691358,0.3141361176967621,0.3645577132701874,0.1700733024691358,0.1700733024691358,TURN_LEFT,0.3164139688014984,0.31578946113586426,0.3154781460762024,0.21994212962962964,13.21158299833769,2.5
0020,ZM-Baseline-25,OpenCV StereoSGBM,26.996002197265625,32.626808166503906,0.9568113676400247,0.9196075457610509,0.1653491512345679,0.3141361176967621,0.3546091914176941,0.1653491512345679,0.1653491512345679,TURN_LEFT,0.31575831174850466,0.3141361176967621,0.3151674270629883,0.21877314814814816,12.161624999862397,2.5
0030,ZM-Baseline-25,OpenCV StereoSGBM,33.2024040222168,34.31290054321289,0.9927951531029966,0.9886872512654759,0.27095100308641973,0.3141361176967621,0.33541950583457947,0.27095100308641973,0.27095100308641973,TURN_RIGHT,0.3141361176967621,0.3141361176967621,0.3151674270629883,0.3584664351851852,37.45854199951282,2.5
0040,ZM-Baseline-25,OpenCV StereoSGBM,21.78063201904297,27.203332901000977,0.9927524045199368,0.98379368244587,0.7226215277777778,0.3141361176967621,0.3456631898880005,0.7226215277777778,0.7226215277777778,TURN_LEFT,0.34507548809051514,0.3455723524093628,0.33898305892944336,0.8998668981481481,9.763624999322928,2.5
0050,ZM-Baseline-25,OpenCV StereoSGBM,22.36240005493164,41.52615737915039,0.9501447355509763,0.8546732410950839,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.967291000066325,2.5
0060,ZM-Baseline-25,OpenCV StereoSGBM,6.508433818817139,8.584532737731934,0.9265552938867628,0.7193062506132862,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,8.926332999180886,2.5
0070,ZM-Baseline-25,OpenCV StereoSGBM,21.98257827758789,38.11599349975586,0.9696276125993524,0.9521857521342361,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,10.750416999144363,2.5
0080,ZM-Baseline-25,OpenCV StereoSGBM,59.31290054321289,60.074527740478516,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.91391699972155,2.5
0090,ZM-Baseline-25,OpenCV StereoSGBM,61.978065490722656,62.27682113647461,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.206667000398738,2.5
0100,ZM-Baseline-25,OpenCV StereoSGBM,58.28857421875,58.949893951416016,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,10.962166999888723,2.5
0110,ZM-Baseline-25,OpenCV StereoSGBM,57.08903121948242,57.879241943359375,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.273917001337395,2.5
0120,ZM-Baseline-25,OpenCV StereoSGBM,62.1153678894043,62.26144027709961,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.242333999281982,2.5
0130,ZM-Baseline-25,OpenCV StereoSGBM,59.59735107421875,59.97670364379883,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.165125000436092,2.5
0140,ZM-Baseline-25,OpenCV StereoSGBM,59.590171813964844,60.000938415527344,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,9.021583000503597,2.5
0150,ZM-Baseline-25,OpenCV StereoSGBM,63.59428405761719,63.749244689941406,1.0,1.0,0.7863425925925925,0.3487105071544647,0.401475191116333,0.7863425925925925,0.7863425925925925,TURN_RIGHT,0.3980099558830261,0.4000000059604645,0.4026845693588257,0.9858043981481481,8.993375000500237,2.5
