run_id,episode,reward,steps,success,navigation_efficiency,goal_distance,grid_size,max_episode_steps,timestamp_utc
2026-04-03_15-35-09,1,-55.55505200720295,200,0,0.019399039342314066,48.54894437575342,50,200,2026-04-03T19:35:20.349981
2026-04-03_15-35-09,2,-58.15102312940668,200,0,0.01974956701560098,47.634021455258214,50,200,2026-04-03T19:35:29.424098
2026-04-03_15-35-09,3,-77.02997123393031,200,0,0.017174220679360835,55.226805085936306,50,200,2026-04-03T19:35:36.224330
2026-04-03_15-35-09,4,-1080.399948287733,2,0,0.015134586458628056,65.05382386916237,50,200,2026-04-03T19:35:38.075403
2026-04-03_15-35-09,5,-96.11738247211129,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T19:35:44.557520
2026-04-03_15-35-09,6,-87.94072377504813,200,0,0.015607021214299889,61.07372593840988,50,200,2026-04-03T19:35:52.163575
2026-04-03_15-35-09,7,-1126.1521758951021,8,0,0.01615309899395912,60.8276253029822,50,200,2026-04-03T19:35:54.894418
2026-04-03_15-35-09,8,-78.77872565537223,200,0,0.016610909771468087,57.201398584300364,50,200,2026-04-03T19:36:03.392052
2026-04-03_15-35-09,9,-79.7357627005174,200,0,0.017618438119702342,53.75872022286245,50,200,2026-04-03T19:36:10.822916
2026-04-03_15-35-09,10,-58.757835647325024,200,0,0.018505084984861087,51.03920062069938,50,200,2026-04-03T19:36:19.935884
2026-04-03_15-35-09,11,-76.93004313844733,200,0,0.016560495414620673,57.38466694161429,50,200,2026-04-03T19:36:28.965212
2026-04-03_15-35-09,12,-1060.7294141354232,42,0,0.016424602250353967,59.464274989274024,50,200,2026-04-03T19:36:32.600753
2026-04-03_15-35-09,13,-59.021555122065664,200,0,0.018191361753620034,51.97114584074513,50,200,2026-04-03T19:36:43.988596
2026-04-03_15-35-09,14,-72.36794541009958,200,0,0.017857142857142856,53.0,50,200,2026-04-03T19:36:51.710375
2026-04-03_15-35-09,15,-66.4948530746807,200,0,0.017632891518770216,53.71219600798314,50,200,2026-04-03T19:36:59.031781
2026-04-03_15-35-09,16,-72.67309794456595,200,0,0.01762421513378868,53.74011537017761,50,200,2026-04-03T19:37:06.329060
2026-04-03_15-35-09,17,-220.22133605854302,200,0,0.01966415802543691,47.853944456021594,50,200,2026-04-03T19:38:01.188223
2026-04-03_15-35-09,18,-86.24228139244738,200,0,0.01620899952366611,58.69412236331676,50,200,2026-04-03T19:38:07.265176
2026-04-03_15-35-09,19,-87.28647750685529,200,0,0.015795905494282912,60.30754513325841,50,200,2026-04-03T19:38:14.258028
2026-04-03_15-35-09,20,-1324.4214103589081,38,0,0.016646102525679725,58.69412236331676,50,200,2026-04-03T19:38:17.740663
2026-04-03_15-35-09,21,-94.17535799059843,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T19:38:25.401136
2026-04-03_15-35-09,22,-1230.98259017636,96,0,0.016293596768100885,59.413803110051795,50,200,2026-04-03T19:38:29.139420
2026-04-03_15-35-09,23,-74.32128190094409,200,0,0.01729568768179672,54.817880294662984,50,200,2026-04-03T19:38:38.659370
2026-04-03_15-35-09,24,-177.635915460156,200,0,0.016026419329261153,59.39696961966999,50,200,2026-04-03T19:38:46.021086
2026-04-03_15-35-09,25,-1048.2693969944385,1,0,0.0156380783423265,62.93647591023825,50,200,2026-04-03T19:38:47.873892
2026-04-03_15-35-09,26,-238.44289176001863,200,0,0.01852188156539091,50.99019513592785,50,200,2026-04-03T19:38:56.625589
2026-04-03_15-35-09,27,-1171.0367464484518,7,0,0.015285704606614055,64.35060217278468,50,200,2026-04-03T19:38:58.378936
2026-04-03_15-35-09,28,-1272.9323458320823,102,0,0.023540569081470893,40.45985664828782,50,200,2026-04-03T19:39:06.797195
2026-04-03_15-35-09,29,-24.802773259728262,200,0,0.02560457998035623,36.05551275463989,50,200,2026-04-03T19:39:19.154606
2026-04-03_15-35-09,30,-590.5765949565128,200,0,0.018678630677396113,50.53711507397311,50,200,2026-04-03T19:39:26.977277
2026-04-03_15-35-09,31,-1499.8370677987925,184,0,0.01552919129886241,61.554853586049575,50,200,2026-04-03T19:39:32.769227
2026-04-03_15-35-09,32,-77.36865036981524,200,0,0.016579645764233333,57.3149195236284,50,200,2026-04-03T19:39:41.865565
2026-04-03_15-35-09,33,-77.43464530139485,200,0,0.017328524620093738,54.70831746635972,50,200,2026-04-03T19:40:26.246695
2026-04-03_15-35-09,34,-86.95288158605416,200,0,0.016120221108337676,59.033888572581766,50,200,2026-04-03T19:40:30.990569
