run_id,episode,reward,steps,success,navigation_efficiency,goal_distance,grid_size,max_episode_steps,timestamp_utc
2026-04-06_09-19-27,3001,-101.4533870630744,6,0,0.017130644601492433,57.3149195236284,50,200,2026-04-06T13:19:30.876636
2026-04-06_09-19-27,3002,5.898640225948554,31,0,0.024910958470641023,38.8329756778952,50,200,2026-04-06T13:19:43.000033
2026-04-06_09-19-27,3003,393.22231497859036,123,1,0.4484304932735426,0.0,50,200,2026-04-06T13:20:11.012008
2026-04-06_09-19-27,3004,414.57621662160557,103,1,0.4926108374384236,0.0,50,200,2026-04-06T13:20:38.004688
2026-04-06_09-19-27,3005,336.4928713673887,200,0,0.1715728752538099,2.8284271247461903,50,200,2026-04-06T13:21:01.162262
2026-04-06_09-19-27,3006,-92.6849287578361,3,0,0.016356376470631765,60.108235708594876,50,200,2026-04-06T13:21:03.250098
2026-04-06_09-19-27,3007,421.6661849924978,101,1,0.49751243781094534,0.0,50,200,2026-04-06T13:21:25.003092
2026-04-06_09-19-27,3008,435.5722613860663,175,1,0.36363636363636365,0.0,50,200,2026-04-06T13:21:48.105348
2026-04-06_09-19-27,3009,48.23571619140512,45,0,0.03361124974877229,28.30194339616981,50,200,2026-04-06T13:21:58.570539
2026-04-06_09-19-27,3010,-47.752575586902644,16,0,0.02030734718298212,48.08326112068523,50,200,2026-04-06T13:22:03.743557
2026-04-06_09-19-27,3011,414.69397250998134,129,1,0.4366812227074236,0.0,50,200,2026-04-06T13:22:27.900819
2026-04-06_09-19-27,3012,402.2969117272501,162,1,0.38167938931297707,0.0,50,200,2026-04-06T13:22:50.557768
2026-04-06_09-19-27,3013,-6.102863841763536,31,0,0.025253558710953042,38.28837943815329,50,200,2026-04-06T13:22:58.551357
2026-04-06_09-19-27,3014,296.3672946185231,200,0,0.08183611128016957,9.219544457292887,50,200,2026-04-06T13:23:23.663090
2026-04-06_09-19-27,3015,-97.60541074164776,6,0,0.016348354475417506,60.108235708594876,50,200,2026-04-06T13:23:26.483628
2026-04-06_09-19-27,3016,-62.793399501744915,16,0,0.018208727296301852,53.75872022286245,50,200,2026-04-06T13:23:31.620145
2026-04-06_09-19-27,3017,420.8807218861656,97,1,0.5076142131979695,0.0,50,200,2026-04-06T13:23:53.734931
2026-04-06_09-19-27,3018,15.137909066430595,35,0,0.026158714769734845,36.87817782917155,50,200,2026-04-06T13:24:02.770826
