episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,hazard_risk,distance_to_goal
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,11,20,18,3,5,lookahead_safer,-4.4070129723911595,-9.7551237719251,0.0,2.2261059712036513e-05,31.38470965295043
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,12,21,17,3,5,lookahead_safer,-4.590609347774997,-9.841050258559921,0.0,3.938861937058391e-06,30.01666203960727
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,13,22,16,3,5,lookahead_safer,-4.777436335741289,-9.92052092507695,0.0,6.100087261984299e-07,28.653097563788805
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,14,23,15,3,5,lookahead_safer,-4.9685211066227,-9.99241445639486,0.0,8.268784768006299e-08,27.294688127912362
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,16,25,15,3,5,lookahead_safer,-4.913014533612387,-10.283653667770993,0.0,9.810423584610817e-09,25.553864678361276
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,17,26,14,3,5,lookahead_safer,-5.107577434046264,-10.35852954673181,0.0,1.0187654053694928e-09,24.186773244895647
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,18,27,13,3,5,lookahead_safer,-5.308279721286688,-10.423405865601504,0.0,9.259786687421112e-11,22.825424421026653
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,20,29,13,3,5,lookahead_safer,-5.196655936745366,-10.737844584078962,0.0,8.893411007626639e-11,21.095023109728988
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,21,30,12,3,5,lookahead_safer,-5.4005108543304186,-10.807681974305106,0.0,4.310240012128652e-11,19.72308292331602
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,22,31,11,3,5,lookahead_safer,-5.613296153159389,-10.863636250567431,0.0,1.831220071413231e-11,18.35755975068582
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,23,32,10,3,5,lookahead_safer,-5.836538087509657,-10.901091532021209,0.0,6.820019809311573e-12,17.0
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,25,34,10,3,5,lookahead_safer,-5.622666548106784,-11.276070233614865,0.0,2.2311640382466358e-11,15.264337522473747
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,26,35,9,3,5,lookahead_safer,-5.849390136931829,-11.320830787970536,0.0,6.38540782749164e-12,13.892443989449804
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,27,36,8,3,5,lookahead_safer,-6.093142638067482,-11.335442491109719,0.0,1.6019604262909604e-12,12.529964086141668
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,29,38,8,3,5,lookahead_safer,-5.682936909156514,-11.781343140016915,0.0,3.0947226118543947e-12,10.816653826391969
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,30,39,7,3,5,lookahead_safer,-5.915701362270029,-11.814369391545458,0.0,5.96618728813253e-13,9.433981132056603
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,31,40,6,3,5,lookahead_safer,-6.177677189304108,-11.788245934715587,0.0,1.0082728516035491e-13,8.06225774829855
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,32,41,5,3,5,lookahead_safer,-6.482470430792527,-11.642541117705683,0.0,1.4937065188794056e-14,6.708203932499369
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,34,43,5,3,5,lookahead_safer,-5.326643068004458,-12.40680858026618,0.0,1.4937065188794056e-14,5.0
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,35,44,4,3,5,lookahead_safer,-5.391187393101028,-12.203219233546157,0.0,1.7004525229308981e-15,3.605551275463989
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,36,45,3,3,5,lookahead_safer,-5.230975610866,-11.467449701362147,0.0,1.6969528210208597e-16,2.23606797749979
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,38,47,3,3,5,negative_progress,-0.1303398874988766,-6.947006554165615,0.0,1.0020602259832326e-16,1.0
54,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,39,47,2,3,6,negative_progress,1.9158399836613764,-4.141666666666667,0.0,1.1038105716241352e-17,0.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,1,10,8,3,5,obstacle_risk,214.02598824465764,-6.883414873382373,0.0,0.018181893974542618,37.48332962798263
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,3,12,8,3,5,obstacle_risk,211.75758545885657,-7.169712177678016,0.0,0.015758255496621132,35.510561809129406
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,5,14,8,3,5,obstacle_risk,10214.467897654837,-7.487485268122152,0.0,0.010259240865707397,33.54101966249684
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,7,16,8,3,5,obstacle_risk,212.6654848178471,-7.728305107665397,0.0,0.006695295684039593,31.575306807693888
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,18,8,3,5,obstacle_risk,212.56541661672105,-7.695218360578936,0.0,0.021518448367714882,29.614185789921695
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,11,20,8,3,5,obstacle_risk,10215.678844678945,-7.305789368454837,0.0,0.0569305382668972,27.65863337187866
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,13,22,8,3,5,obstacle_risk,10217.405313346782,-6.424730914619304,0.0,0.12398602813482285,25.709920264364882
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,15,24,8,3,5,obstacle_risk,10219.772828352277,-5.145468054174981,0.0,0.22227638959884644,23.769728648009426
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,17,26,8,3,5,obstacle_risk,10222.072719051313,-3.9231199611441965,0.0,0.32802510261535645,21.840329667841555
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,18,27,7,3,5,lookahead_safer,1.0262379082471287,-4.774980387514188,0.0,0.28348293900489807,20.615528128088304
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,19,28,6,3,5,lookahead_safer,-0.5480692269485116,-5.734850253193555,0.0,0.22227638959884644,19.4164878389476
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,21,30,6,3,5,lookahead_safer,-0.9040885447852649,-6.207611219723117,0.0,0.22227638959884644,17.46424919657298
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,23,32,6,3,5,lookahead_safer,-2.210761907077294,-7.243124607753772,0.0,0.1829727739095688,15.524174696260024
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,26,35,7,3,5,lookahead_safer,-3.631509436442928,-9.030137593610002,0.0,0.13016657531261444,13.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,28,37,7,3,5,lookahead_safer,-4.758372572692127,-9.97306727783337,0.0,0.06587573140859604,11.180339887498949
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,30,39,7,3,5,lookahead_safer,-4.533713892642184,-9.554998806269335,0.0,0.07312434911727905,9.433981132056603
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,32,41,7,3,5,lookahead_safer,-2.582776001884967,-7.891558731682843,0.0,0.15820874273777008,7.810249675906654
