episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,action_confidence,shield_overrode,shield_reason,obstacle_risk,hazard_risk,combined_risk,distance_to_goal,progress,done,done_reason
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,1,3,3,3,3,0.9957491159439087,0,not_applied,0.0,0.0016738495323807001,0.0016738495323807001,55.44366510251645,1.4070165116911326,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,4,4,3,3,0.9953970313072205,0,not_applied,0.0,0.004851515870541334,0.004851515870541334,54.037024344425184,1.4066407580912639,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,3,5,5,3,3,0.9950188398361206,0,not_applied,0.0,0.012571582570672035,0.012571582570672035,52.630789467763066,1.4062348766621184,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,4,6,6,3,3,0.9946512579917908,0,not_applied,0.0,0.029124192893505096,0.029124192893505096,51.22499389946279,1.4057955683002774,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,5,7,7,3,3,0.9942823648452759,0,not_applied,0.0,0.06032111495733261,0.06032111495733261,49.8196748283246,1.4053190711381873,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,6,8,8,3,3,0.993913471698761,0,not_applied,0.0,0.11169564723968506,0.11169564723968506,48.41487374764082,1.4048010806837823,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,7,9,9,3,3,0.9935331344604492,0,not_applied,0.0,0.18490755558013916,0.18490755558013916,47.01063709417264,1.4042366534681818,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,8,10,10,3,3,0.9931390881538391,0,not_applied,0.0,0.2736682891845703,0.2736682891845703,45.60701700396552,1.40362009020712,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,9,11,11,3,3,0.9927355051040649,0,not_applied,0.0,0.36211442947387695,0.36211442947387695,44.204072210600685,1.4029447933648314,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,10,12,12,3,3,0.9923140406608582,0,not_applied,0.2405477911233902,0.42836958169937134,0.42836958169937134,42.80186911806539,1.402203092535295,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,11,13,13,3,3,0.991894543170929,0,not_applied,0.11689814180135727,0.45304661989212036,0.45304661989212036,41.400483088968905,1.4013860290964857,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,12,14,14,3,3,0.9914719462394714,0,not_applied,0.0,0.42836958169937134,0.42836958169937134,40.0,1.4004830889689046,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,13,15,15,3,3,0.9910323023796082,0,not_applied,0.0364583320915699,0.36211442947387695,0.36211442947387695,38.600518131237564,1.399481868762436,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,14,16,16,3,3,0.9905745387077332,0,not_applied,0.8070987462997437,0.2736682891845703,0.8070987462997437,37.20215047547655,1.3983676557610139,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,15,17,17,3,3,0.9900920987129211,0,not_applied,0.6795909404754639,0.18490755558013916,0.6795909404754639,35.805027579936315,1.3971228955402353,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,16,18,18,3,3,0.9896145462989807,0,not_applied,0.4596836566925049,0.11169564723968506,0.4596836566925049,34.40930106817051,1.3957265117658082,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,17,19,19,3,3,0.9891272187232971,0,not_applied,0.014467592351138592,0.06032111495733261,0.06032111495733261,33.015148038438355,1.394153029732152,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,18,20,20,3,3,0.9886198043823242,0,not_applied,0.2391975224018097,0.029124192893505096,0.2391975224018097,31.622776601683793,1.392371436754562,0,
